,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-3060000.0,-5533834.586466,-7242000.0,-5612000.0,-6034482.758621,
Tax Rate For Calcs,0.255,0.240602,0.213,0.244,0.241379,
Normalized EBITDA,282000000.0,264000000.0,286000000.0,258000000.0,278000000.0,
Total Unusual Items,-12000000.0,-23000000.0,-34000000.0,-23000000.0,-25000000.0,
Total Unusual Items Excluding Goodwill,-12000000.0,-23000000.0,-34000000.0,-23000000.0,-25000000.0,
Net Income From Continuing Operation Net Minority Interest,107000000.0,101000000.0,101000000.0,86000000.0,110000000.0,
Reconciled Depreciation,81000000.0,52000000.0,80000000.0,76000000.0,73000000.0,
Reconciled Cost Of Revenue,2284000000.0,2391000000.0,2301000000.0,2212000000.0,2157000000.0,
EBITDA,270000000.0,241000000.0,252000000.0,235000000.0,253000000.0,
EBIT,189000000.0,172000000.0,172000000.0,159000000.0,180000000.0,
Net Interest Income,-32000000.0,-30000000.0,-29000000.0,-29000000.0,-29000000.0,
Interest Expense,39000000.0,39000000.0,38000000.0,38000000.0,35000000.0,
Interest Income,7000000.0,9000000.0,9000000.0,9000000.0,6000000.0,
Normalized Income,115940000.0,118466165.413534,127758000.0,103388000.0,128965517.241379,
Net Income From Continuing And Discontinued Operation,107000000.0,101000000.0,101000000.0,86000000.0,110000000.0,
Total Expenses,3174000000.0,3251000000.0,3141000000.0,3066000000.0,2968000000.0,
Total Operating Income As Reported,182000000.0,163000000.0,164000000.0,151000000.0,175000000.0,
Diluted Average Shares,116061244.0,118335539.0,121036247.0,122636948.0,124848221.0,
Basic Average Shares,114939640.0,117359505.0,120199552.0,121927867.0,123776073.0,
Diluted EPS,0.92,0.85,0.84,0.7,0.88,
Basic EPS,0.93,0.86,0.84,0.71,0.89,
Diluted NI Availto Com Stockholders,107000000.0,101000000.0,101000000.0,86000000.0,110000000.0,
Net Income Common Stockholders,107000000.0,101000000.0,101000000.0,86000000.0,110000000.0,
Net Income,107000000.0,101000000.0,101000000.0,86000000.0,110000000.0,
Minority Interests,-5000000.0,-2000000.0,-8000000.0,-8000000.0,-3000000.0,
Net Income Including Noncontrolling Interests,112000000.0,103000000.0,109000000.0,94000000.0,113000000.0,
Net Income Continuous Operations,112000000.0,103000000.0,109000000.0,94000000.0,113000000.0,
Earnings From Equity Interest Net Of Tax,0.0,2000000.0,3000000.0,4000000.0,3000000.0,
Tax Provision,38000000.0,32000000.0,28000000.0,31000000.0,35000000.0,
Pretax Income,150000000.0,133000000.0,134000000.0,121000000.0,145000000.0,
Other Income Expense,-12000000.0,-23000000.0,-35000000.0,-24000000.0,-26000000.0,
Other Non Operating Income Expenses,,0.0,-1000000.0,-1000000.0,-1000000.0,0.0
Special Income Charges,-12000000.0,-23000000.0,-34000000.0,-23000000.0,-25000000.0,
Gain On Sale Of Business,-2000000.0,,,-1000000.0,,
Impairment Of Capital Assets,1000000.0,,3000000.0,2000000.0,1000000.0,
Restructuring And Mergern Acquisition,9000000.0,30000000.0,31000000.0,20000000.0,24000000.0,
Net Non Operating Interest Income Expense,-32000000.0,-30000000.0,-29000000.0,-29000000.0,-29000000.0,
Interest Expense Non Operating,39000000.0,39000000.0,38000000.0,38000000.0,35000000.0,
Interest Income Non Operating,7000000.0,9000000.0,9000000.0,9000000.0,6000000.0,
Operating Income,194000000.0,186000000.0,198000000.0,174000000.0,200000000.0,
Operating Expense,876000000.0,877000000.0,828000000.0,842000000.0,800000000.0,
Depreciation Amortization Depletion Income Statement,67000000.0,69000000.0,68000000.0,64000000.0,62000000.0,
Depreciation And Amortization In Income Statement,67000000.0,69000000.0,68000000.0,64000000.0,62000000.0,
Selling General And Administration,809000000.0,808000000.0,760000000.0,778000000.0,738000000.0,
Gross Profit,1070000000.0,1063000000.0,1026000000.0,1016000000.0,1000000000.0,
Cost Of Revenue,2298000000.0,2374000000.0,2313000000.0,2224000000.0,2168000000.0,
Total Revenue,3368000000.0,3437000000.0,3339000000.0,3240000000.0,3168000000.0,
Operating Revenue,3368000000.0,3437000000.0,3339000000.0,3240000000.0,3168000000.0,
