,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,3360.0,
Tax Rate For Calcs,0.4,0.0,0.0,0.0,0.21,
Normalized EBITDA,-3512000.0,-2891000.0,-3472000.0,-2009000.0,-3774000.0,
Total Unusual Items,,0.0,,16000.0,16000.0,76000.0
Total Unusual Items Excluding Goodwill,,0.0,,16000.0,16000.0,76000.0
Net Income From Continuing Operation Net Minority Interest,-3521000.0,-2904000.0,-3472000.0,-2002000.0,-3772000.0,
Reconciled Cost Of Revenue,46000.0,12000.0,14000.0,27000.0,0.0,
EBITDA,-3512000.0,-2891000.0,-3472000.0,-1993000.0,-3758000.0,
EBIT,-3512000.0,-2891000.0,-3472000.0,-1993000.0,-3758000.0,
Net Interest Income,85000.0,112000.0,107000.0,-262000.0,37000.0,
Interest Expense,6000.0,13000.0,0.0,9000.0,11000.0,
Interest Income,91000.0,125000.0,107000.0,45000.0,48000.0,
Normalized Income,-3521000.0,-2904000.0,-3472000.0,-2018000.0,-3784640.0,
Net Income From Continuing And Discontinued Operation,-3521000.0,-2904000.0,-3472000.0,-2002000.0,-3772000.0,
Total Expenses,4098000.0,3436000.0,3762000.0,2094000.0,4115000.0,
Total Operating Income As Reported,-3603000.0,-3016000.0,-3579000.0,-1756000.0,-3822000.0,
Diluted Average Shares,3918339.0,3621696.0,2639340.0,1132951.0,861793.0,
Basic Average Shares,3918339.0,3621696.0,2639340.0,1132951.0,861793.0,
Diluted EPS,-0.9,-0.8,-1.3,-1.8,-4.4,
Basic EPS,-0.9,-0.8,-1.3,-1.8,-4.4,
Diluted NI Availto Com Stockholders,-3521000.0,-2904000.0,-3472000.0,-2002000.0,-3772000.0,
Net Income Common Stockholders,-3521000.0,-2904000.0,-3472000.0,-2002000.0,-3772000.0,
Net Income,-3521000.0,-2904000.0,-3472000.0,-2002000.0,-3772000.0,
Net Income Including Noncontrolling Interests,-3521000.0,-2904000.0,-3472000.0,-2002000.0,-3772000.0,
Net Income Continuous Operations,-3521000.0,-2904000.0,-3472000.0,-2002000.0,-3772000.0,
Tax Provision,3000.0,0.0,0.0,0.0,3000.0,
Pretax Income,-3518000.0,-2904000.0,-3472000.0,-2002000.0,-3769000.0,
Other Income Expense,,0.0,,16000.0,16000.0,76000.0
Other Non Operating Income Expenses,,,,,,0.0
Special Income Charges,,,,,,0.0
Gain On Sale Of Security,,0.0,,16000.0,16000.0,76000.0
Net Non Operating Interest Income Expense,85000.0,112000.0,107000.0,-262000.0,37000.0,
Total Other Finance Cost,,0.0,,298000.0,,
Interest Expense Non Operating,6000.0,13000.0,0.0,9000.0,11000.0,
Interest Income Non Operating,91000.0,125000.0,107000.0,45000.0,48000.0,
Operating Income,-3603000.0,-3016000.0,-3579000.0,-1756000.0,-3822000.0,
Operating Expense,4052000.0,3424000.0,3748000.0,2067000.0,4115000.0,
Research And Development,2344000.0,2200000.0,1850000.0,1037000.0,2431000.0,
Selling General And Administration,1708000.0,1224000.0,1898000.0,1030000.0,1684000.0,
General And Administrative Expense,1708000.0,1224000.0,1898000.0,1030000.0,1684000.0,
Other Gand A,1708000.0,1224000.0,1898000.0,1030000.0,1684000.0,
Gross Profit,449000.0,408000.0,169000.0,311000.0,293000.0,
Cost Of Revenue,46000.0,12000.0,14000.0,27000.0,0.0,
Total Revenue,495000.0,420000.0,183000.0,338000.0,293000.0,
Operating Revenue,495000.0,420000.0,183000.0,338000.0,293000.0,
