,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-7269600.0,-17550376.970528,-3672807.951722,5805000.0,-3360000.0,,
Tax Rate For Calcs,0.156,0.283071,0.233937,0.15,0.15,,
Normalized EBITDA,34700000.0,-21500000.0,-172900000.0,24700000.0,54500000.0,,
Total Unusual Items,-46600000.0,-62000000.0,-15700000.0,38700000.0,-22400000.0,,
Total Unusual Items Excluding Goodwill,-46600000.0,-62000000.0,-15700000.0,38700000.0,-22400000.0,,
Net Income From Continuing Operation Net Minority Interest,-63300000.0,-104600000.0,-215800000.0,11100000.0,-35100000.0,,
Reconciled Depreciation,41400000.0,42600000.0,45900000.0,46600000.0,48300000.0,,
Reconciled Cost Of Revenue,559500000.0,575900000.0,685600000.0,710400000.0,646200000.0,,
EBITDA,-11900000.0,-83500000.0,-188600000.0,63400000.0,32100000.0,,
EBIT,-53300000.0,-126100000.0,-234500000.0,16800000.0,-16200000.0,,
Net Interest Income,-15500000.0,-13700000.0,-36500000.0,-10300000.0,-11000000.0,,
Interest Expense,21700000.0,19800000.0,47200000.0,16700000.0,17000000.0,,
Interest Income,6600000.0,6500000.0,10900000.0,6600000.0,6100000.0,,
Normalized Income,-23969600.0,-60150376.970528,-203772807.951722,-21795000.0,-16060000.0,,
Net Income From Continuing And Discontinued Operation,-63300000.0,-104600000.0,-215800000.0,11100000.0,-35100000.0,,
Total Expenses,656100000.0,670800000.0,918800000.0,808800000.0,735300000.0,,
Total Operating Income As Reported,-32600000.0,-70200000.0,-229500000.0,-28400000.0,100000.0,,
Diluted Average Shares,65763748.0,,51453736.0,51458814.0,51453736.0,,51446803.0
Basic Average Shares,65763748.0,,51453736.0,51453736.0,51453736.0,,51446803.0
Diluted EPS,-0.96,,-4.19,0.22,-0.68,,-2.05
Basic EPS,-0.96,,-4.19,0.22,-0.68,,-2.05
Diluted NI Availto Com Stockholders,-63300000.0,-104600000.0,-215800000.0,11100000.0,-35100000.0,,
Net Income Common Stockholders,-63300000.0,-104600000.0,-215800000.0,11100000.0,-35100000.0,,
Net Income,-63300000.0,-104600000.0,-215800000.0,11100000.0,-35100000.0,,
Net Income Including Noncontrolling Interests,-63300000.0,-104600000.0,-215800000.0,11100000.0,-35100000.0,,
Net Income Continuous Operations,-63300000.0,-104600000.0,-215800000.0,11100000.0,-35100000.0,,
Tax Provision,-11700000.0,-41300000.0,-65900000.0,-11000000.0,1900000.0,,
Pretax Income,-75000000.0,-145900000.0,-281700000.0,100000.0,-33200000.0,,
Other Income Expense,-46600000.0,-62000000.0,-15700000.0,38700000.0,-22400000.0,,
Special Income Charges,-37300000.0,-70500000.0,1200000.0,8300000.0,-23100000.0,,
Gain On Sale Of Ppe,-27000000.0,-1300000.0,-2100000.0,100000.0,-29400000.0,,
Gain On Sale Of Business,9400000.0,9500000.0,3600000.0,8400000.0,6500000.0,,
Other Special Charges,,200000.0,100000.0,-100000.0,100000.0,-1900000.0,
Write Off,19700000.0,,,,100000.0,,
Impairment Of Capital Assets,,71400000.0,0.0,0.0,,2200000.0,91100000.0
Restructuring And Mergern Acquisition,,7100000.0,200000.0,300000.0,,2500000.0,3700000.0
Gain On Sale Of Security,-9300000.0,8500000.0,-16900000.0,30400000.0,700000.0,,
Net Non Operating Interest Income Expense,-15500000.0,-13700000.0,-36500000.0,-10300000.0,-11000000.0,,
Total Other Finance Cost,400000.0,400000.0,200000.0,200000.0,100000.0,,
Interest Expense Non Operating,21700000.0,19800000.0,47200000.0,16700000.0,17000000.0,,
Interest Income Non Operating,6600000.0,6500000.0,10900000.0,6600000.0,6100000.0,,
Operating Income,-12900000.0,-70200000.0,-229500000.0,-28300000.0,200000.0,,
Operating Expense,96600000.0,94900000.0,233200000.0,98400000.0,89100000.0,,
Other Operating Expenses,,,,36200000.0,22300000.0,,
Other Taxes,36700000.0,37900000.0,175100000.0,,24200000.0,3100000.0,
Depreciation Amortization Depletion Income Statement,41400000.0,42600000.0,45900000.0,46600000.0,48300000.0,,
Depletion Income Statement,9200000.0,9100000.0,8600000.0,8300000.0,8300000.0,,
Depreciation And Amortization In Income Statement,32200000.0,33500000.0,37300000.0,38300000.0,40000000.0,,
Depreciation Income Statement,32200000.0,33500000.0,37300000.0,38300000.0,40000000.0,,
Selling General And Administration,18500000.0,14400000.0,12200000.0,15600000.0,16600000.0,,
General And Administrative Expense,18500000.0,14400000.0,12200000.0,15600000.0,16600000.0,,
Other Gand A,16300000.0,16000000.0,12400000.0,16700000.0,16500000.0,,
Salaries And Wages,2200000.0,-1600000.0,-200000.0,-1100000.0,100000.0,,
Gross Profit,83700000.0,24700000.0,3700000.0,70100000.0,89300000.0,,
Cost Of Revenue,559500000.0,575900000.0,685600000.0,710400000.0,646200000.0,,
Total Revenue,643200000.0,600600000.0,689300000.0,780500000.0,735500000.0,,
Operating Revenue,643200000.0,600600000.0,689300000.0,780500000.0,735500000.0,,
