,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,
Normalized EBITDA,-9554000.0,-8881000.0,-6863000.0,-6287000.0,-5272000.0,
Total Unusual Items,5918000.0,-13485000.0,-3378000.0,-2871000.0,-879000.0,
Total Unusual Items Excluding Goodwill,5918000.0,-13485000.0,-3378000.0,-2871000.0,-879000.0,
Net Income From Continuing Operation Net Minority Interest,-4290000.0,-22955000.0,-10854000.0,-9742000.0,-6671000.0,
Reconciled Depreciation,631000.0,563000.0,584000.0,559000.0,491000.0,
Reconciled Cost Of Revenue,17000.0,315000.0,121000.0,168000.0,502000.0,
EBITDA,-3636000.0,-22366000.0,-10241000.0,-9158000.0,-6151000.0,
EBIT,-4267000.0,-22929000.0,-10825000.0,-9717000.0,-6642000.0,
Net Interest Income,-23000.0,-26000.0,-29000.0,-25000.0,-29000.0,
Interest Expense,23000.0,26000.0,29000.0,25000.0,29000.0,
Normalized Income,-10208000.0,-9470000.0,-7476000.0,-6871000.0,-5792000.0,
Net Income From Continuing And Discontinued Operation,-4290000.0,-22955000.0,-10854000.0,-9742000.0,-6671000.0,
Total Expenses,10363000.0,11089000.0,7930000.0,7489000.0,8058000.0,
Total Operating Income As Reported,-4413000.0,-23435000.0,-11048000.0,-9842000.0,-6799000.0,
Diluted Average Shares,34519000.0,32065000.0,32033000.0,32023000.0,25694000.0,
Basic Average Shares,34519000.0,32065000.0,32033000.0,32023000.0,25694000.0,
Diluted EPS,-0.12,-0.72,-0.34,-0.304219,-0.26,
Basic EPS,-0.12,-0.72,-0.34,-0.3,-0.26,
Diluted NI Availto Com Stockholders,-4290000.0,-22955000.0,-10854000.0,-9742000.0,-6671000.0,
Net Income Common Stockholders,-4290000.0,-22955000.0,-10854000.0,-9742000.0,-6671000.0,
Otherunder Preferred Stock Dividend,,,0.0,0.0,,
Net Income,-4290000.0,-22955000.0,-10854000.0,-9742000.0,-6671000.0,
Net Income Including Noncontrolling Interests,-4290000.0,-22955000.0,-10854000.0,-9742000.0,-6671000.0,
Net Income Discontinuous Operations,,,,,,0.0
Net Income Continuous Operations,-4290000.0,-22955000.0,-10854000.0,-9742000.0,-6671000.0,
Tax Provision,0.0,,0.0,0.0,0.0,
Pretax Income,-4290000.0,-22955000.0,-10854000.0,-9742000.0,-6671000.0,
Other Income Expense,6064000.0,-12979000.0,-3155000.0,-2746000.0,-722000.0,
Other Non Operating Income Expenses,146000.0,506000.0,223000.0,125000.0,157000.0,
Special Income Charges,5918000.0,-13485000.0,-3378000.0,-2871000.0,-879000.0,
Write Off,,0.0,0.0,0.0,0.0,0.0
Impairment Of Capital Assets,,,,,,41900000.0
Restructuring And Mergern Acquisition,-5918000.0,-1115000.0,3378000.0,2871000.0,879000.0,
Net Non Operating Interest Income Expense,-23000.0,-26000.0,-29000.0,-25000.0,-29000.0,
Interest Expense Non Operating,23000.0,26000.0,29000.0,25000.0,29000.0,
Operating Income,-10331000.0,-9950000.0,-7670000.0,-6971000.0,-5920000.0,
Operating Expense,10346000.0,10446000.0,7809000.0,7321000.0,7245000.0,
Depreciation Amortization Depletion Income Statement,257000.0,235000.0,234000.0,215000.0,180000.0,
Depreciation And Amortization In Income Statement,257000.0,235000.0,234000.0,215000.0,180000.0,
Research And Development,4953000.0,5829000.0,3878000.0,3281000.0,2924000.0,
Selling General And Administration,5136000.0,4382000.0,3697000.0,3825000.0,4141000.0,
Selling And Marketing Expense,344000.0,385000.0,217000.0,372000.0,239000.0,
General And Administrative Expense,4792000.0,3997000.0,3480000.0,3453000.0,3902000.0,
Other Gand A,1493000.0,830000.0,758000.0,715000.0,1281000.0,
Insurance And Claims,191000.0,436000.0,160000.0,410000.0,338000.0,
Salaries And Wages,3108000.0,2731000.0,2562000.0,2328000.0,2283000.0,
Gross Profit,15000.0,496000.0,139000.0,350000.0,1325000.0,
Cost Of Revenue,17000.0,643000.0,121000.0,168000.0,813000.0,
Total Revenue,32000.0,1139000.0,260000.0,518000.0,2138000.0,
Operating Revenue,32000.0,1139000.0,260000.0,518000.0,2138000.0,
