,2026-03-31,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.4,0.255
Normalized EBITDA,104400000.0,110600000.0
Net Income From Continuing Operation Net Minority Interest,-7200000.0,35000000.0
Reconciled Depreciation,38100000.0,35100000.0
Reconciled Cost Of Revenue,434800000.0,304600000.0
EBITDA,104400000.0,110600000.0
EBIT,66300000.0,75500000.0
Net Interest Income,-70800000.0,-28500000.0
Interest Expense,70800000.0,28500000.0
Normalized Income,-7200000.0,35000000.0
Net Income From Continuing And Discontinued Operation,-7200000.0,35000000.0
Total Expenses,605500000.0,419100000.0
Total Operating Income As Reported,63100000.0,74900000.0
Diluted Average Shares,771462532.0,771462532.0
Basic Average Shares,771462532.0,771462532.0
Diluted EPS,-0.01,0.045368
Basic EPS,-0.01,0.045368
Diluted NI Availto Com Stockholders,-7200000.0,35000000.0
Net Income Common Stockholders,-7200000.0,35000000.0
Net Income,-7200000.0,35000000.0
Minority Interests,1800000.0,0.0
Net Income Including Noncontrolling Interests,-9000000.0,35000000.0
Net Income Continuous Operations,-9000000.0,35000000.0
Tax Provision,4500000.0,12000000.0
Pretax Income,-4500000.0,47000000.0
Other Income Expense,3200000.0,600000.0
Other Non Operating Income Expenses,3200000.0,600000.0
Net Non Operating Interest Income Expense,-70800000.0,-28500000.0
Interest Expense Non Operating,70800000.0,28500000.0
Operating Income,63100000.0,74900000.0
Operating Expense,170700000.0,114500000.0
Other Operating Expenses,-1200000.0,-1800000.0
Research And Development,28900000.0,19300000.0
Selling General And Administration,143000000.0,97000000.0
Gross Profit,233800000.0,189400000.0
Cost Of Revenue,434800000.0,304600000.0
Total Revenue,668600000.0,494000000.0
Operating Revenue,668600000.0,494000000.0
