,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,23600400.0,-11508840.0,-18136440.0,-9612750.0,-922740.0,
Tax Rate For Calcs,0.4,0.21,0.21,0.21,0.21,
Normalized EBITDA,-197384000.0,-247346000.0,-259301000.0,-251352000.0,-228384000.0,
Total Unusual Items,59001000.0,-54804000.0,-86364000.0,-45775000.0,-4394000.0,
Total Unusual Items Excluding Goodwill,59001000.0,-54804000.0,-86364000.0,-45775000.0,-4394000.0,
Net Income From Continuing Operation Net Minority Interest,-163563000.0,-328485000.0,-370021000.0,-321686000.0,-256583000.0,
Reconciled Depreciation,5015000.0,5561000.0,3996000.0,3747000.0,3146000.0,
Reconciled Cost Of Revenue,44486000.0,40596000.0,26907000.0,25591000.0,19395000.0,
EBITDA,-138383000.0,-302150000.0,-345665000.0,-297127000.0,-232778000.0,
EBIT,-143398000.0,-307711000.0,-349661000.0,-300874000.0,-235924000.0,
Net Interest Income,-20082000.0,-20599000.0,-20382000.0,-21245000.0,-21569000.0,
Interest Expense,18700000.0,19223000.0,19040000.0,19569000.0,19747000.0,
Interest Income,,0.0,0.0,0.0,0.0,0.0
Normalized Income,-198963600.0,-285189840.0,-301793440.0,-285523750.0,-253111740.0,
Net Income From Continuing And Discontinued Operation,-163563000.0,-328485000.0,-370021000.0,-321686000.0,-256583000.0,
Total Expenses,506245000.0,513551000.0,403694000.0,361291000.0,322663000.0,
Total Operating Income As Reported,-153320000.0,-319748000.0,-366005000.0,-312876000.0,-248140000.0,
Diluted Average Shares,215468000.0,213637000.0,211759000.0,189302000.0,180860000.0,
Basic Average Shares,215468000.0,213637000.0,211759000.0,189302000.0,180860000.0,
Diluted EPS,-0.76,-1.54,-1.75,-1.7,-1.42,
Basic EPS,-0.76,-1.54,-1.75,-1.7,-1.42,
Diluted NI Availto Com Stockholders,-163563000.0,-328485000.0,-370021000.0,-321686000.0,-256583000.0,
Net Income Common Stockholders,-163563000.0,-328485000.0,-370021000.0,-321686000.0,-256583000.0,
Net Income,-163563000.0,-328485000.0,-370021000.0,-321686000.0,-256583000.0,
Net Income Including Noncontrolling Interests,-163563000.0,-328485000.0,-370021000.0,-321686000.0,-256583000.0,
Net Income Continuous Operations,-163563000.0,-328485000.0,-370021000.0,-321686000.0,-256583000.0,
Tax Provision,1465000.0,1551000.0,1320000.0,1243000.0,912000.0,
Pretax Income,-162098000.0,-326934000.0,-368701000.0,-320443000.0,-255671000.0,
Other Income Expense,58265000.0,-56627000.0,-86967000.0,-45322000.0,-4262000.0,
Other Non Operating Income Expenses,-736000.0,-1823000.0,-603000.0,453000.0,132000.0,
Special Income Charges,46961000.0,-70040000.0,-104653000.0,-59000000.0,-18300000.0,
Restructuring And Mergern Acquisition,-46961000.0,70040000.0,104653000.0,59000000.0,18300000.0,
Gain On Sale Of Security,12040000.0,15236000.0,18289000.0,13225000.0,13906000.0,
Net Non Operating Interest Income Expense,-20082000.0,-20599000.0,-20382000.0,-21245000.0,-21569000.0,
Total Other Finance Cost,1382000.0,1376000.0,1342000.0,1676000.0,1822000.0,
Interest Expense Non Operating,18700000.0,19223000.0,19040000.0,19569000.0,19747000.0,
Interest Income Non Operating,,0.0,0.0,0.0,0.0,0.0
Operating Income,-200281000.0,-249708000.0,-261352000.0,-253876000.0,-229840000.0,
Operating Expense,458825000.0,469331000.0,374329000.0,333216000.0,301385000.0,
Depreciation Amortization Depletion Income Statement,2081000.0,1937000.0,1538000.0,1263000.0,1263000.0,
Depreciation And Amortization In Income Statement,2081000.0,1937000.0,1538000.0,1263000.0,1263000.0,
Amortization,2081000.0,1937000.0,1538000.0,1263000.0,1263000.0,
Amortization Of Intangibles Income Statement,2081000.0,1937000.0,1538000.0,1263000.0,1263000.0,
Research And Development,209485000.0,254911000.0,186415000.0,177190000.0,152577000.0,
Selling General And Administration,247259000.0,212483000.0,186376000.0,154763000.0,147545000.0,
General And Administrative Expense,247259000.0,212483000.0,186376000.0,154763000.0,147545000.0,
Other Gand A,150706000.0,114686000.0,108055000.0,76437000.0,70827000.0,
Salaries And Wages,96553000.0,97797000.0,78321000.0,78326000.0,76718000.0,
Gross Profit,258544000.0,219623000.0,112977000.0,79340000.0,71545000.0,
Cost Of Revenue,47420000.0,44220000.0,29365000.0,28075000.0,21278000.0,
Total Revenue,305964000.0,263843000.0,142342000.0,107415000.0,92823000.0,
Operating Revenue,305964000.0,263843000.0,142342000.0,107415000.0,92823000.0,
