,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-3846500.0,-6675560.203167,-5290000.0,-60228000.0,-5058900.0,,
Tax Rate For Calcs,0.157,0.198088,0.23,0.21,0.231,,
Normalized EBITDA,455100000.0,574100000.0,532000000.0,498100000.0,456200000.0,,
Total Unusual Items,-24500000.0,-33700000.0,-23000000.0,-286800000.0,-21900000.0,,
Total Unusual Items Excluding Goodwill,-24500000.0,-33700000.0,-23000000.0,-286800000.0,-21900000.0,,
Net Income From Continuing Operation Net Minority Interest,192100000.0,266100000.0,244100000.0,-115300000.0,186500000.0,,
Reconciled Depreciation,136900000.0,140800000.0,124500000.0,120500000.0,120000000.0,,
Reconciled Cost Of Revenue,1025400000.0,1169400000.0,1070200000.0,1034100000.0,922600000.0,,
EBITDA,430600000.0,540400000.0,509000000.0,211300000.0,434300000.0,,
EBIT,293700000.0,399600000.0,384500000.0,90800000.0,314300000.0,,
Net Interest Income,-63800000.0,-64900000.0,-65100000.0,-62700000.0,-61200000.0,,
Interest Expense,63800000.0,64900000.0,65100000.0,62700000.0,61200000.0,,
Normalized Income,212753500.0,293124439.796833,261810000.0,111272000.0,203341100.0,,
Net Income From Continuing And Discontinued Operation,192100000.0,266100000.0,244100000.0,-115300000.0,186500000.0,,
Total Expenses,1533000000.0,1667300000.0,1556500000.0,1524700000.0,1392400000.0,,
Total Operating Income As Reported,289700000.0,390200000.0,375500000.0,76400000.0,302500000.0,,
Diluted Average Shares,394000000.0,395800000.0,399000000.0,400500000.0,406400000.0,,
Basic Average Shares,391400000.0,393000000.0,396000000.0,400500000.0,403100000.0,,
Diluted EPS,0.49,0.67,0.61,-0.29,0.46,,
Basic EPS,0.49,0.68,0.62,-0.29,0.46,,
Diluted NI Availto Com Stockholders,192100000.0,266100000.0,244100000.0,-115300000.0,186500000.0,,
Net Income Common Stockholders,192100000.0,266100000.0,244100000.0,-115300000.0,186500000.0,,
Net Income,192100000.0,266100000.0,244100000.0,-115300000.0,186500000.0,,
Minority Interests,-1700000.0,-2300000.0,-1700000.0,-1500000.0,-1900000.0,,
Net Income Including Noncontrolling Interests,193800000.0,268400000.0,245800000.0,-113800000.0,188400000.0,,
Net Income Continuous Operations,193800000.0,268400000.0,245800000.0,-113800000.0,188400000.0,,
Earnings From Equity Interest Net Of Tax,0.0,0.0,0.0,-120900000.0,-6200000.0,,
Tax Provision,36100000.0,66300000.0,73600000.0,21000000.0,58500000.0,,
Pretax Income,229900000.0,334700000.0,319400000.0,28100000.0,253100000.0,,
Other Income Expense,-20500000.0,-24300000.0,-14000000.0,-272400000.0,-10100000.0,,
Other Non Operating Income Expenses,4000000.0,9400000.0,9000000.0,14400000.0,11800000.0,,
Special Income Charges,-22300000.0,-30700000.0,-20200000.0,-280800000.0,-15100000.0,,
Gain On Sale Of Business,,0.0,0.0,0.0,,0.0,0.0
Other Special Charges,,,,,,0.0,
Impairment Of Capital Assets,,7600000.0,0.0,265800000.0,,,
Restructuring And Mergern Acquisition,22300000.0,23100000.0,20200000.0,15000000.0,15100000.0,,
Gain On Sale Of Security,-2200000.0,-3000000.0,-2800000.0,-6000000.0,-6800000.0,,
Net Non Operating Interest Income Expense,-63800000.0,-64900000.0,-65100000.0,-62700000.0,-61200000.0,,
Interest Expense Non Operating,63800000.0,64900000.0,65100000.0,62700000.0,61200000.0,,
Operating Income,314200000.0,423900000.0,398500000.0,363200000.0,324400000.0,,
Operating Expense,478200000.0,466800000.0,456700000.0,461700000.0,441100000.0,,
Other Operating Expenses,,0.0,800000.0,-1100000.0,-200000.0,-2800000.0,
Depreciation Amortization Depletion Income Statement,107500000.0,109700000.0,94900000.0,91600000.0,91300000.0,,
Depreciation And Amortization In Income Statement,107500000.0,109700000.0,94900000.0,91600000.0,91300000.0,,
Amortization,107500000.0,109700000.0,94900000.0,91600000.0,91300000.0,,
Amortization Of Intangibles Income Statement,107500000.0,109700000.0,94900000.0,91600000.0,91300000.0,,
Selling General And Administration,370700000.0,357100000.0,361000000.0,371200000.0,350000000.0,,
Selling And Marketing Expense,,,,,350000000.0,,
Gross Profit,792400000.0,890700000.0,855200000.0,824900000.0,765500000.0,,
Cost Of Revenue,1054800000.0,1200500000.0,1099800000.0,1063000000.0,951300000.0,,
Total Revenue,1847200000.0,2091200000.0,1955000000.0,1887900000.0,1716800000.0,,
Operating Revenue,1847200000.0,2091200000.0,1955000000.0,1887900000.0,1716800000.0,,
