,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,
Normalized EBITDA,10907000.0,-26399000.0,-4371000.0,-4561000.0,-7532000.0,
Total Unusual Items,-965000.0,-2322000.0,-2310000.0,-2890000.0,-1343000.0,
Total Unusual Items Excluding Goodwill,-965000.0,-2322000.0,-2310000.0,-2890000.0,-1343000.0,
Net Income From Continuing Operation Net Minority Interest,8849000.0,-23061000.0,-9502000.0,-10407000.0,-10464000.0,
Reconciled Depreciation,520000.0,543000.0,557000.0,556000.0,546000.0,
Reconciled Cost Of Revenue,1103000.0,2200000.0,532000.0,527000.0,448000.0,
EBITDA,9942000.0,-28721000.0,-6681000.0,-7451000.0,-8875000.0,
EBIT,9422000.0,-29264000.0,-7238000.0,-8007000.0,-9421000.0,
Net Interest Income,-699000.0,-132000.0,-6000.0,15000.0,56000.0,
Interest Expense,699000.0,,,,,
Interest Income,,,,,56000.0,
Normalized Income,9814000.0,-20739000.0,-7192000.0,-7517000.0,-9121000.0,
Net Income From Continuing And Discontinued Operation,8849000.0,-23061000.0,-9502000.0,-10407000.0,-10464000.0,
Total Expenses,10065000.0,23677000.0,10321000.0,10986000.0,11635000.0,
Rent Expense Supplemental,89000.0,78000.0,170000.0,131000.0,132000.0,
Total Operating Income As Reported,10182000.0,-21242000.0,-7238000.0,-8007000.0,-9421000.0,
Diluted Average Shares,14736.0,,43233.0,28993.0,17903.0,
Basic Average Shares,14736.0,,43233.0,28993.0,17903.0,
Diluted EPS,-476.0,,-219.8,-359.1,-584.449984,
Basic EPS,-476.0,,-219.8,-359.1,-584.449984,
Diluted NI Availto Com Stockholders,-7015000.0,-23202000.0,-9502000.0,-10407000.0,-10464000.0,
Net Income Common Stockholders,-7015000.0,-23202000.0,-9502000.0,-10407000.0,-10464000.0,
Preferred Stock Dividends,15864000.0,,,,,
Net Income,8849000.0,-23061000.0,-9502000.0,-10407000.0,-10464000.0,
Minority Interests,126000.0,132000.0,146000.0,153000.0,132000.0,
Net Income Including Noncontrolling Interests,8723000.0,-23193000.0,-9648000.0,-10560000.0,-10596000.0,
Net Income Continuous Operations,8723000.0,-23193000.0,-9648000.0,-10560000.0,-10596000.0,
Tax Provision,0.0,0.0,0.0,0.0,0.0,
Pretax Income,8723000.0,-23193000.0,-9648000.0,-10560000.0,-10596000.0,
Other Income Expense,-760000.0,-2619000.0,-2404000.0,-2568000.0,-1231000.0,
Other Non Operating Income Expenses,205000.0,-297000.0,-94000.0,322000.0,112000.0,
Special Income Charges,-628000.0,-777000.0,0.0,-1822000.0,0.0,
Other Special Charges,628000.0,-23000.0,,1822000.0,,0.0
Gain On Sale Of Security,-337000.0,-1545000.0,-2310000.0,-1068000.0,-1343000.0,
Net Non Operating Interest Income Expense,-699000.0,-132000.0,-6000.0,15000.0,56000.0,
Total Other Finance Cost,,,6000.0,-15000.0,,
Interest Expense Non Operating,699000.0,,,,,
Interest Income Non Operating,,,,,56000.0,
Operating Income,10182000.0,-20442000.0,-7238000.0,-8007000.0,-9421000.0,
Operating Expense,8907000.0,21477000.0,9789000.0,10459000.0,11120000.0,
Other Operating Expenses,-25000.0,,,,,
Depreciation Amortization Depletion Income Statement,465000.0,,,,479000.0,
Depreciation And Amortization In Income Statement,465000.0,,,,479000.0,
Research And Development,3928000.0,14313000.0,3658000.0,3265000.0,3730000.0,
Selling General And Administration,4539000.0,5306000.0,6131000.0,7194000.0,6911000.0,
Selling And Marketing Expense,232000.0,1467000.0,737000.0,1034000.0,931000.0,
General And Administrative Expense,4307000.0,3839000.0,5394000.0,6160000.0,5980000.0,
Other Gand A,2268000.0,1476000.0,2855000.0,3364000.0,3306000.0,
Rent And Landing Fees,89000.0,78000.0,170000.0,131000.0,132000.0,
Salaries And Wages,1950000.0,2285000.0,2369000.0,2665000.0,2542000.0,
Gross Profit,19089000.0,1035000.0,2551000.0,2452000.0,1699000.0,
Cost Of Revenue,1158000.0,2200000.0,532000.0,527000.0,515000.0,
Total Revenue,20247000.0,3235000.0,3083000.0,2979000.0,2214000.0,
Operating Revenue,20335000.0,4254000.0,4072000.0,3945000.0,3226000.0,
