,2026-04-30,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2024-10-31
Tax Effect Of Unusual Items,2586800.0,-1041600.0,909930.0,-751170.0,0.0,
Tax Rate For Calcs,0.4,0.4,0.21,0.21,0.234396,
Normalized EBITDA,-2848000.0,-1184000.0,-4908000.0,841000.0,-3390000.0,
Total Unusual Items,6467000.0,-2604000.0,4333000.0,-3577000.0,0.0,
Total Unusual Items Excluding Goodwill,6467000.0,-2604000.0,4333000.0,-3577000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,369000.0,-6209000.0,-15955000.0,766000.0,-3913000.0,
Reconciled Depreciation,1291000.0,1448000.0,1209000.0,1268000.0,1138000.0,
Reconciled Cost Of Revenue,32531000.0,31088000.0,33454000.0,33678000.0,31102000.0,
EBITDA,3619000.0,-3788000.0,-575000.0,-2736000.0,-3390000.0,
EBIT,2328000.0,-5236000.0,-1784000.0,-4004000.0,-4528000.0,
Net Interest Income,-614000.0,-617000.0,-502000.0,-445000.0,-583000.0,
Interest Expense,614000.0,617000.0,502000.0,445000.0,583000.0,
Normalized Income,-3511200.0,-4646600.0,-19378070.0,3591830.0,-3913000.0,
Net Income From Continuing And Discontinued Operation,369000.0,-6209000.0,-15955000.0,766000.0,-3913000.0,
Total Expenses,51595000.0,48430000.0,53541000.0,52961000.0,51380000.0,
Total Operating Income As Reported,2288000.0,-5214000.0,-1622000.0,-4042000.0,-4634000.0,
Diluted Average Shares,10293903.0,,9752582.0,10093855.0,9498604.0,7664532.0
Basic Average Shares,9862119.0,,9752582.0,9530082.0,9498604.0,7428451.0
Diluted EPS,0.04,,-1.64,0.08,-0.41,0.01
Basic EPS,0.04,,-1.64,0.08,-0.41,0.01
Diluted NI Availto Com Stockholders,369000.0,-6209000.0,-15955000.0,766000.0,-3913000.0,
Net Income Common Stockholders,369000.0,-6209000.0,-15955000.0,766000.0,-3913000.0,
Net Income,369000.0,-6209000.0,-15955000.0,766000.0,-3913000.0,
Net Income Including Noncontrolling Interests,369000.0,-6209000.0,-15955000.0,766000.0,-3913000.0,
Net Income Continuous Operations,369000.0,-6209000.0,-15955000.0,766000.0,-3913000.0,
Tax Provision,1345000.0,356000.0,13669000.0,-5215000.0,-1198000.0,
Pretax Income,1714000.0,-5853000.0,-2286000.0,-4449000.0,-5111000.0,
Other Income Expense,6507000.0,-2626000.0,4171000.0,-3539000.0,106000.0,
Other Non Operating Income Expenses,40000.0,-22000.0,-162000.0,38000.0,106000.0,
Special Income Charges,6467000.0,-2604000.0,4333000.0,-3577000.0,0.0,
Gain On Sale Of Ppe,6467000.0,,4333000.0,,0.0,0.0
Other Special Charges,,0.0,-4333000.0,,,
Write Off,,,,3577000.0,,
Impairment Of Capital Assets,,2604000.0,0.0,,,0.0
Net Non Operating Interest Income Expense,-614000.0,-617000.0,-502000.0,-445000.0,-583000.0,
Interest Expense Non Operating,614000.0,617000.0,502000.0,445000.0,583000.0,
Operating Income,-4179000.0,-2610000.0,-5955000.0,-465000.0,-4634000.0,
Operating Expense,19064000.0,17342000.0,20087000.0,19283000.0,20278000.0,
Other Operating Expenses,19064000.0,,20087000.0,19283000.0,20278000.0,17753000.0
Gross Profit,14885000.0,14732000.0,14132000.0,18818000.0,15644000.0,
Cost Of Revenue,32531000.0,31088000.0,33454000.0,33678000.0,31102000.0,
Total Revenue,47416000.0,45820000.0,47586000.0,52496000.0,46746000.0,
Operating Revenue,47416000.0,45820000.0,47586000.0,52496000.0,46746000.0,
