,2026-03-31,2025-12-31,2025-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.4,0.21,0.21
Normalized EBITDA,-159598.0,-174127.0,-107577.0
Net Income From Continuing Operation Net Minority Interest,1373157.0,1491401.0,43587.0
EBITDA,-159598.0,-174127.0,-107577.0
EBIT,-159598.0,-174127.0,-107577.0
Net Interest Income,1532755.0,1665528.0,151164.0
Interest Income,1532755.0,1665528.0,151164.0
Normalized Income,1373157.0,1491401.0,43587.0
Net Income From Continuing And Discontinued Operation,1373157.0,1491401.0,43587.0
Total Expenses,159598.0,174127.0,107577.0
Total Operating Income As Reported,-159598.0,-174127.0,-107577.0
Diluted Average Shares,23000000.0,,7266484.0
Basic Average Shares,23000000.0,,6582418.0
Diluted EPS,0.06,,0.01
Basic EPS,0.06,,0.01
Diluted NI Availto Com Stockholders,1373157.0,1491401.0,43587.0
Net Income Common Stockholders,1373157.0,1491401.0,43587.0
Net Income,1373157.0,1491401.0,43587.0
Net Income Including Noncontrolling Interests,1373157.0,1491401.0,43587.0
Net Income Continuous Operations,1373157.0,1491401.0,43587.0
Pretax Income,1373157.0,1491401.0,43587.0
Net Non Operating Interest Income Expense,1532755.0,1665528.0,151164.0
Interest Income Non Operating,1532755.0,1665528.0,151164.0
Operating Income,-159598.0,-174127.0,-107577.0
Operating Expense,159598.0,174127.0,107577.0
Other Operating Expenses,,,107577.0
Selling General And Administration,159598.0,,
General And Administrative Expense,159598.0,,
Other Gand A,159598.0,,
Total Revenue,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0
