,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,752830.868476,-321675.889328,-3877440.0,479982.753045,-1764000.0,,
Tax Rate For Calcs,0.153639,0.011858,0.21,0.145449,0.21,,
Normalized EBITDA,110129000.0,87120000.0,72061000.0,24027000.0,70698000.0,,
Total Unusual Items,4900000.0,-27128000.0,-18464000.0,3300000.0,-8400000.0,,
Total Unusual Items Excluding Goodwill,4900000.0,-27128000.0,-18464000.0,3300000.0,-8400000.0,,
Net Income From Continuing Operation Net Minority Interest,49331000.0,2500000.0,-5730000.0,-23783000.0,3868000.0,,
Reconciled Depreciation,21768000.0,21573000.0,25517000.0,25120000.0,25552000.0,,
Reconciled Cost Of Revenue,27985000.0,27421000.0,25479000.0,25455000.0,23508000.0,,
EBITDA,115029000.0,59992000.0,53597000.0,27327000.0,62298000.0,,
EBIT,93261000.0,38419000.0,28080000.0,2207000.0,36746000.0,,
Net Interest Income,-34975000.0,-35889000.0,-31508000.0,-30038000.0,-29604000.0,,
Interest Expense,34975000.0,35889000.0,31508000.0,30038000.0,29604000.0,,
Normalized Income,45183830.868476,29306324.110672,8856560.0,-26603017.246955,10504000.0,,
Net Income From Continuing And Discontinued Operation,49331000.0,2500000.0,-5730000.0,-23783000.0,3868000.0,,
Total Expenses,119705000.0,119724000.0,131779000.0,162040000.0,104968000.0,,
Total Operating Income As Reported,85937000.0,74007000.0,47753000.0,44000.0,45001000.0,,
Diluted Average Shares,147099710.0,,,,147099710.0,,
Basic Average Shares,147099710.0,,,,147099710.0,,
Diluted EPS,0.34,,,,0.026295,,
Basic EPS,0.34,,,,0.026295,,
Diluted NI Availto Com Stockholders,49331000.0,2500000.0,-5730000.0,-23783000.0,3868000.0,,
Net Income Common Stockholders,49331000.0,2500000.0,-5730000.0,-23783000.0,3868000.0,,
Net Income,49331000.0,2500000.0,-5730000.0,-23783000.0,3868000.0,,
Net Income Including Noncontrolling Interests,49331000.0,2500000.0,-5730000.0,-23783000.0,3868000.0,,
Net Income Continuous Operations,49331000.0,2500000.0,-5730000.0,-23783000.0,3868000.0,,
Tax Provision,8955000.0,30000.0,2302000.0,-4048000.0,3274000.0,,
Pretax Income,58286000.0,2530000.0,-3428000.0,-27831000.0,7142000.0,,
Other Income Expense,7324000.0,-36016000.0,-19673000.0,2163000.0,-8255000.0,,
Other Non Operating Income Expenses,2424000.0,-8888000.0,-1209000.0,-1137000.0,145000.0,,
Special Income Charges,4900000.0,-27128000.0,-18464000.0,3300000.0,-8400000.0,,
Other Special Charges,,0.0,,,,,
Impairment Of Capital Assets,,428000.0,0.0,,,12312000.0,0.0
Restructuring And Mergern Acquisition,-4900000.0,26700000.0,13200000.0,-3300000.0,8400000.0,,
Net Non Operating Interest Income Expense,-34975000.0,-35889000.0,-31508000.0,-30038000.0,-29604000.0,,
Interest Expense Non Operating,34975000.0,35889000.0,31508000.0,30038000.0,29604000.0,,
Operating Income,85937000.0,74435000.0,47753000.0,44000.0,45001000.0,,
Operating Expense,91720000.0,92303000.0,106300000.0,136585000.0,81460000.0,,
Depreciation Amortization Depletion Income Statement,21768000.0,21573000.0,25517000.0,25120000.0,25552000.0,,
Depreciation And Amortization In Income Statement,21768000.0,21573000.0,25517000.0,25120000.0,25552000.0,,
Research And Development,27374000.0,28899000.0,26756000.0,36925000.0,20924000.0,,
Selling General And Administration,42578000.0,41831000.0,54027000.0,74540000.0,34984000.0,,
Selling And Marketing Expense,17735000.0,17196000.0,17103000.0,16149000.0,14262000.0,,
General And Administrative Expense,24843000.0,24635000.0,36924000.0,58391000.0,20722000.0,,
Other Gand A,24843000.0,24635000.0,36924000.0,58391000.0,20722000.0,,
Gross Profit,177657000.0,166738000.0,154053000.0,136629000.0,126461000.0,,
Cost Of Revenue,27985000.0,27421000.0,25479000.0,25455000.0,23508000.0,,
Total Revenue,205642000.0,194159000.0,179532000.0,162084000.0,149969000.0,,
Operating Revenue,205642000.0,194159000.0,179532000.0,162084000.0,149969000.0,,
