,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,-4547200.0,-6927480.0,-1365210.0,21630.0,-12390.0
Tax Rate For Calcs,0.4,0.21,0.21,0.21,0.21
Normalized EBITDA,74657000.0,29040000.0,66631000.0,60748000.0,43950000.0
Total Unusual Items,-11368000.0,-32988000.0,-6501000.0,103000.0,-59000.0
Total Unusual Items Excluding Goodwill,-11368000.0,-32988000.0,-6501000.0,103000.0,-59000.0
Net Income From Continuing Operation Net Minority Interest,16094000.0,-32721000.0,-576000.0,-5270000.0,-21213000.0
Reconciled Depreciation,42276000.0,28677000.0,27490000.0,28770000.0,29351000.0
Reconciled Cost Of Revenue,846291000.0,586223000.0,556640000.0,466790000.0,390990000.0
EBITDA,63289000.0,-3948000.0,60130000.0,60851000.0,43891000.0
EBIT,21013000.0,-32625000.0,32640000.0,32081000.0,14540000.0
Net Interest Income,-15680000.0,-11650000.0,-27114000.0,-29640000.0,-28886000.0
Interest Expense,17000000.0,13550000.0,28183000.0,30404000.0,29641000.0
Interest Income,1320000.0,1900000.0,1069000.0,764000.0,755000.0
Normalized Income,22914800.0,-6660480.0,4559790.0,-5351370.0,-21166390.0
Net Income From Continuing And Discontinued Operation,16094000.0,-32721000.0,-576000.0,-5270000.0,-21213000.0
Total Expenses,1004662000.0,729713000.0,670017000.0,568028000.0,489800000.0
Total Operating Income As Reported,22367000.0,-23498000.0,37197000.0,31329000.0,16554000.0
Diluted Average Shares,108431000.0,59561000.0,58511000.0,101703702.0,55022940.0
Basic Average Shares,67151000.0,59561000.0,58511000.0,101703702.0,55022940.0
Diluted EPS,0.13,-0.55,-0.02,-0.051817,-0.38553
Basic EPS,0.24,-0.55,-0.02,-0.051817,-0.38553
Diluted NI Availto Com Stockholders,16094000.0,-32721000.0,-576000.0,-5270000.0,-21213000.0
Net Income Common Stockholders,16094000.0,-32721000.0,-576000.0,-5270000.0,-21213000.0
Net Income,16094000.0,-32721000.0,-576000.0,-5270000.0,-21213000.0
Minority Interests,-1300000.0,21953000.0,-955000.0,-1401000.0,-2074000.0
Net Income Including Noncontrolling Interests,17394000.0,-54674000.0,379000.0,-3869000.0,-19139000.0
Net Income Continuous Operations,17394000.0,-54674000.0,379000.0,-3869000.0,-19139000.0
Tax Provision,-13381000.0,8499000.0,4078000.0,5546000.0,4038000.0
Pretax Income,4013000.0,-46175000.0,4457000.0,1677000.0,-15101000.0
Other Income Expense,-13538000.0,-42454000.0,-6418000.0,455000.0,-2368000.0
Other Non Operating Income Expenses,-2674000.0,-10061000.0,59000.0,-12000.0,-2769000.0
Special Income Charges,-11368000.0,-32988000.0,-6501000.0,103000.0,-59000.0
Gain On Sale Of Ppe,64000.0,127000.0,-21000.0,122000.0,98000.0
Other Special Charges,,966000.0,5685000.0,,
Restructuring And Mergern Acquisition,11432000.0,4768000.0,795000.0,19000.0,157000.0
Earnings From Equity Interest,504000.0,595000.0,24000.0,364000.0,460000.0
Net Non Operating Interest Income Expense,-15680000.0,-11650000.0,-27114000.0,-29640000.0,-28886000.0
Interest Expense Non Operating,17000000.0,13550000.0,28183000.0,30404000.0,29641000.0
Interest Income Non Operating,1320000.0,1900000.0,1069000.0,764000.0,755000.0
Operating Income,33231000.0,7929000.0,37989000.0,30862000.0,16153000.0
Operating Expense,152923000.0,139559000.0,110070000.0,97812000.0,95551000.0
Depreciation Amortization Depletion Income Statement,36828000.0,24746000.0,24183000.0,25344000.0,26092000.0
Depreciation And Amortization In Income Statement,36828000.0,24746000.0,24183000.0,25344000.0,26092000.0
Selling General And Administration,116095000.0,114813000.0,85887000.0,72468000.0,69459000.0
Gross Profit,186154000.0,147488000.0,148059000.0,128674000.0,111704000.0
Cost Of Revenue,851739000.0,590154000.0,559947000.0,470216000.0,394249000.0
Total Revenue,1037893000.0,737642000.0,708006000.0,598890000.0,505953000.0
Operating Revenue,1037893000.0,737642000.0,708006000.0,598890000.0,505953000.0
