,2026-04-30,2026-01-31,2025-10-31,2025-07-31,2025-04-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.4,0.199608,0.21,0.21,0.21
Normalized EBITDA,18774000.0,28470000.0,11713000.0,-32136000.0,-23198000.0
Net Income From Continuing Operation Net Minority Interest,4434000.0,15530000.0,-2007000.0,-47048000.0,-37626000.0
Reconciled Depreciation,9127000.0,9279000.0,9562000.0,9511000.0,9060000.0
Reconciled Cost Of Revenue,191441000.0,187412000.0,179177000.0,171428000.0,158041000.0
EBITDA,18774000.0,28470000.0,11713000.0,-32136000.0,-23198000.0
EBIT,9647000.0,19191000.0,2151000.0,-41647000.0,-32258000.0
Net Interest Income,18498000.0,20550000.0,20359000.0,22164000.0,22392000.0
Interest Expense,853000.0,-212000.0,801000.0,1473000.0,1066000.0
Interest Income,19351000.0,20338000.0,21160000.0,23637000.0,23458000.0
Normalized Income,4434000.0,15530000.0,-2007000.0,-47048000.0,-37626000.0
Net Income From Continuing And Discontinued Operation,4434000.0,15530000.0,-2007000.0,-47048000.0,-37626000.0
Total Expenses,712420000.0,694768000.0,646733000.0,656696000.0,602568000.0
Total Operating Income As Reported,-24804000.0,304000.0,-18424000.0,-65294000.0,-53554000.0
Diluted Average Shares,81581387.0,86457703.0,81401853.0,81078234.0,81060822.0
Basic Average Shares,80357498.0,81281748.0,81401853.0,81078234.0,81060822.0
Diluted EPS,0.05,0.18,-0.02,-0.58,-0.46
Basic EPS,0.06,0.19,-0.02,-0.58,-0.46
Diluted NI Availto Com Stockholders,4434000.0,15530000.0,-2007000.0,-47048000.0,-37626000.0
Net Income Common Stockholders,4434000.0,15530000.0,-2007000.0,-47048000.0,-37626000.0
Net Income,4434000.0,15530000.0,-2007000.0,-47048000.0,-37626000.0
Net Income Including Noncontrolling Interests,4434000.0,15530000.0,-2007000.0,-47048000.0,-37626000.0
Net Income Continuous Operations,4434000.0,15530000.0,-2007000.0,-47048000.0,-37626000.0
Tax Provision,4360000.0,3873000.0,3357000.0,3928000.0,4302000.0
Pretax Income,8794000.0,19403000.0,1350000.0,-43120000.0,-33324000.0
Other Income Expense,15100000.0,-1451000.0,-585000.0,10000.0,-2162000.0
Other Non Operating Income Expenses,15100000.0,-1451000.0,-585000.0,10000.0,-2162000.0
Net Non Operating Interest Income Expense,18498000.0,20550000.0,20359000.0,22164000.0,22392000.0
Interest Expense Non Operating,853000.0,-212000.0,801000.0,1473000.0,1066000.0
Interest Income Non Operating,19351000.0,20338000.0,21160000.0,23637000.0,23458000.0
Operating Income,-24804000.0,304000.0,-18424000.0,-65294000.0,-53554000.0
Operating Expense,520979000.0,507356000.0,467556000.0,485268000.0,444527000.0
Research And Development,200409000.0,189125000.0,176610000.0,181739000.0,168829000.0
Selling General And Administration,320570000.0,318231000.0,290946000.0,303529000.0,275698000.0
Selling And Marketing Expense,249334000.0,248537000.0,230864000.0,244065000.0,220923000.0
General And Administrative Expense,71236000.0,69694000.0,60082000.0,59464000.0,54775000.0
Other Gand A,71236000.0,69694000.0,60082000.0,59464000.0,54775000.0
Gross Profit,496175000.0,507660000.0,449132000.0,419974000.0,390973000.0
Cost Of Revenue,191441000.0,187412000.0,179177000.0,171428000.0,158041000.0
Total Revenue,687616000.0,695072000.0,628309000.0,591402000.0,549014000.0
Operating Revenue,687616000.0,695072000.0,628309000.0,591402000.0,549014000.0
