,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,-22061.636557,
Tax Rate For Calcs,0.4,0.21,0.056261,0.038498,0.058057,
Normalized EBITDA,-578000.0,13689000.0,18471000.0,15311000.0,18071000.0,
Total Unusual Items,0.0,0.0,0.0,0.0,-380000.0,
Total Unusual Items Excluding Goodwill,0.0,0.0,0.0,0.0,-380000.0,
Net Income From Continuing Operation Net Minority Interest,-573000.0,1928000.0,1505000.0,1297000.0,890000.0,
Reconciled Depreciation,518000.0,504000.0,651000.0,500000.0,531000.0,
Reconciled Cost Of Revenue,11147000.0,10851000.0,10599000.0,10950000.0,11935000.0,
EBITDA,-578000.0,13689000.0,18471000.0,15311000.0,17691000.0,
EBIT,-1096000.0,13185000.0,17820000.0,14811000.0,17160000.0,
Net Interest Income,510000.0,568000.0,685000.0,769000.0,941000.0,
Interest Income,510000.0,,685000.0,769000.0,941000.0,
Normalized Income,-573000.0,1928000.0,1505000.0,1297000.0,1247938.363443,
Net Income From Continuing And Discontinued Operation,-573000.0,1928000.0,1505000.0,1297000.0,890000.0,
Total Expenses,78125000.0,70209000.0,63451000.0,65139000.0,66347000.0,
Total Operating Income As Reported,-1096000.0,13185000.0,17820000.0,14811000.0,16780000.0,
Diluted Average Shares,2491000.0,2445010.0,2598000.0,2445000.0,2160000.0,
Basic Average Shares,2491000.0,2445010.0,2489000.0,2357000.0,2051000.0,
Diluted EPS,-0.23,5.715723,0.58,0.53,0.41,
Basic EPS,-0.23,5.715723,0.6,0.55,0.43,
Diluted NI Availto Com Stockholders,-573000.0,1928000.0,1505000.0,1297000.0,890000.0,
Net Income Common Stockholders,-573000.0,1928000.0,1505000.0,1297000.0,890000.0,
Net Income,-573000.0,1928000.0,1505000.0,1297000.0,890000.0,
Minority Interests,-19000.0,-12047000.0,-16410000.0,-14013000.0,-15951000.0,
Net Income Including Noncontrolling Interests,-554000.0,13975000.0,17915000.0,15310000.0,16841000.0,
Net Income Continuous Operations,-554000.0,13975000.0,17915000.0,15310000.0,16841000.0,
Tax Provision,62000.0,-161000.0,1068000.0,613000.0,1038000.0,
Pretax Income,-492000.0,13814000.0,18983000.0,15923000.0,17879000.0,
Other Income Expense,94000.0,61000.0,478000.0,343000.0,-222000.0,
Other Non Operating Income Expenses,94000.0,61000.0,478000.0,343000.0,158000.0,
Special Income Charges,0.0,0.0,0.0,0.0,-380000.0,
Impairment Of Capital Assets,0.0,0.0,0.0,0.0,380000.0,
Net Non Operating Interest Income Expense,510000.0,568000.0,685000.0,769000.0,941000.0,
Total Other Finance Cost,,,,,,-1104000.0
Interest Income Non Operating,510000.0,,685000.0,769000.0,941000.0,
Operating Income,-1096000.0,13185000.0,17820000.0,14811000.0,17160000.0,
Operating Expense,66978000.0,59358000.0,52852000.0,54189000.0,54412000.0,
Other Operating Expenses,273000.0,,133000.0,178000.0,129000.0,
Depreciation Amortization Depletion Income Statement,518000.0,504000.0,651000.0,500000.0,531000.0,
Depreciation And Amortization In Income Statement,518000.0,504000.0,651000.0,500000.0,531000.0,
Research And Development,2325000.0,2186000.0,2141000.0,2141000.0,2346000.0,
Selling General And Administration,63862000.0,57108000.0,49927000.0,51370000.0,51406000.0,
Selling And Marketing Expense,39695000.0,34104000.0,31146000.0,31626000.0,34078000.0,
General And Administrative Expense,24167000.0,23004000.0,18781000.0,19744000.0,17328000.0,
Other Gand A,24167000.0,23004000.0,18781000.0,19744000.0,17328000.0,
Gross Profit,65882000.0,72543000.0,70672000.0,69000000.0,71572000.0,
Cost Of Revenue,11147000.0,10851000.0,10599000.0,10950000.0,11935000.0,
Total Revenue,77029000.0,83394000.0,81271000.0,79950000.0,83507000.0,
Operating Revenue,77029000.0,83394000.0,81271000.0,79950000.0,83507000.0,
