,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.248,0.21,0.270891,0.269319,0.21,
Normalized EBITDA,127917000.0,102335000.0,115390000.0,118613000.0,116366000.0,
Net Income From Continuing Operation Net Minority Interest,77882000.0,92237000.0,68176000.0,71180000.0,15065000.0,
Reconciled Depreciation,21144000.0,21585000.0,21580000.0,21058000.0,19999000.0,
Reconciled Cost Of Revenue,93047000.0,84290000.0,81973000.0,87242000.0,82386000.0,
EBITDA,127917000.0,102335000.0,115390000.0,118613000.0,116366000.0,
EBIT,106773000.0,80750000.0,93810000.0,97555000.0,96367000.0,
Net Interest Income,1420000.0,4484000.0,5679000.0,5791000.0,6956000.0,
Interest Expense,2888000.0,964000.0,171000.0,139000.0,213000.0,
Interest Income,4308000.0,5448000.0,5850000.0,5930000.0,7169000.0,
Normalized Income,77882000.0,92237000.0,68176000.0,71180000.0,15065000.0,
Net Income From Continuing And Discontinued Operation,77882000.0,92237000.0,68176000.0,71180000.0,15065000.0,
Total Expenses,132459000.0,133396000.0,123242000.0,127598000.0,120194000.0,
Rent Expense Supplemental,3819000.0,3804000.0,3859000.0,3753000.0,3622000.0,
Total Operating Income As Reported,100921000.0,76013000.0,85579000.0,91864000.0,88382000.0,
Diluted Average Shares,35386000.0,36683000.0,37109000.0,37298000.0,37456000.0,
Basic Average Shares,35301000.0,36601000.0,37023000.0,37210000.0,37388000.0,
Diluted EPS,2.2,2.51,1.84,1.91,0.4,
Basic EPS,2.21,2.52,1.84,1.91,0.4,
Diluted NI Availto Com Stockholders,77882000.0,92237000.0,68176000.0,71180000.0,15065000.0,
Net Income Common Stockholders,77882000.0,92237000.0,68176000.0,71180000.0,15065000.0,
Net Income,77882000.0,92237000.0,68176000.0,71180000.0,15065000.0,
Minority Interests,-225000.0,-157000.0,-97000.0,,0.0,
Net Income Including Noncontrolling Interests,78107000.0,92394000.0,68273000.0,71180000.0,15065000.0,
Net Income Continuous Operations,78107000.0,92394000.0,68273000.0,71180000.0,15065000.0,
Tax Provision,25778000.0,-12608000.0,25366000.0,26236000.0,81089000.0,
Pretax Income,103885000.0,79786000.0,93639000.0,97416000.0,96154000.0,
Other Income Expense,1544000.0,-711000.0,2381000.0,-239000.0,816000.0,
Other Non Operating Income Expenses,1544000.0,-711000.0,2381000.0,-407000.0,527000.0,
Earnings From Equity Interest,0.0,0.0,0.0,168000.0,289000.0,
Net Non Operating Interest Income Expense,1420000.0,4484000.0,5679000.0,5791000.0,6956000.0,
Interest Expense Non Operating,2888000.0,964000.0,171000.0,139000.0,213000.0,
Interest Income Non Operating,4308000.0,5448000.0,5850000.0,5930000.0,7169000.0,
Operating Income,100921000.0,76013000.0,85579000.0,91864000.0,88382000.0,
Operating Expense,37478000.0,47127000.0,39351000.0,38493000.0,36045000.0,
Other Operating Expenses,,,,,,18791000.0
Depreciation Amortization Depletion Income Statement,19210000.0,19606000.0,19662000.0,19195000.0,18236000.0,
Depreciation And Amortization In Income Statement,19210000.0,19606000.0,19662000.0,19195000.0,18236000.0,
Selling General And Administration,18268000.0,27521000.0,19689000.0,19298000.0,17809000.0,
Selling And Marketing Expense,2334000.0,3842000.0,2349000.0,2952000.0,2061000.0,
General And Administrative Expense,15934000.0,23679000.0,17340000.0,16346000.0,15748000.0,
Other Gand A,12115000.0,19875000.0,13481000.0,12593000.0,12126000.0,
Rent And Landing Fees,3819000.0,3804000.0,3859000.0,3753000.0,3622000.0,
Gross Profit,138399000.0,123140000.0,124930000.0,130357000.0,124427000.0,
Cost Of Revenue,94981000.0,86269000.0,83891000.0,89105000.0,84149000.0,
Total Revenue,233380000.0,209409000.0,208821000.0,219462000.0,208576000.0,
Operating Revenue,233380000.0,209409000.0,208821000.0,219462000.0,208576000.0,
