,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0
Normalized EBITDA,-2831546.0,-3087847.0,-3375695.0,-3602028.0,-3197333.0
Net Income From Continuing Operation Net Minority Interest,-2586258.0,-2802279.0,-3050373.0,-3281185.0,-2864120.0
Reconciled Depreciation,4260.0,4555.0,5303.0,5064.0,5177.0
Reconciled Cost Of Revenue,170101.0,146985.0,115272.0,116349.0,0.0
EBITDA,-2831546.0,-3087847.0,-3375695.0,-3602028.0,-3197333.0
EBIT,-2835806.0,-3092402.0,-3380998.0,-3607092.0,-3202510.0
Net Interest Income,252964.0,301876.0,340850.0,324955.0,336111.0
Interest Income,252964.0,301876.0,340850.0,324955.0,336111.0
Normalized Income,-2586258.0,-2802279.0,-3050373.0,-3281185.0,-2864120.0
Net Income From Continuing And Discontinued Operation,-2586258.0,-2802279.0,-3050373.0,-3281185.0,-2864120.0
Total Expenses,3022790.0,3244141.0,3504317.0,3741691.0,3202510.0
Total Operating Income As Reported,-2835806.0,-3092402.0,-3380998.0,-3607092.0,-3202510.0
Diluted Average Shares,49221246.0,,49046246.0,49046246.0,49046246.0
Basic Average Shares,49221246.0,,49046246.0,49046246.0,49046246.0
Diluted EPS,-0.05,,-0.06,-0.07,-0.06
Basic EPS,-0.05,,-0.06,-0.07,-0.06
Diluted NI Availto Com Stockholders,-2586258.0,-2802279.0,-3050373.0,-3281185.0,-2864120.0
Net Income Common Stockholders,-2586258.0,-2802279.0,-3050373.0,-3281185.0,-2864120.0
Net Income,-2586258.0,-2802279.0,-3050373.0,-3281185.0,-2864120.0
Net Income Including Noncontrolling Interests,-2586258.0,-2802279.0,-3050373.0,-3281185.0,-2864120.0
Net Income Continuous Operations,-2586258.0,-2802279.0,-3050373.0,-3281185.0,-2864120.0
Pretax Income,-2586258.0,-2796285.0,-3050373.0,-3281185.0,-2864120.0
Other Income Expense,-3416.0,-5759.0,-10225.0,952.0,2279.0
Other Non Operating Income Expenses,-3416.0,-5759.0,-10225.0,952.0,2279.0
Net Non Operating Interest Income Expense,252964.0,301876.0,340850.0,324955.0,336111.0
Interest Income Non Operating,252964.0,301876.0,340850.0,324955.0,336111.0
Operating Income,-2835806.0,-3092402.0,-3380998.0,-3607092.0,-3202510.0
Operating Expense,2852689.0,3097156.0,3389045.0,3625342.0,3202510.0
Research And Development,1262514.0,1543419.0,1582975.0,2188652.0,1839802.0
Selling General And Administration,1590175.0,1553737.0,1806070.0,1436690.0,1362708.0
General And Administrative Expense,1590175.0,1553737.0,1806070.0,1436690.0,1362708.0
Other Gand A,1590175.0,1553737.0,1806070.0,1436690.0,1362708.0
Gross Profit,16883.0,4754.0,8047.0,18250.0,0.0
Cost Of Revenue,170101.0,146985.0,115272.0,116349.0,0.0
Total Revenue,186984.0,151739.0,123319.0,134599.0,0.0
Operating Revenue,186984.0,151739.0,123319.0,134599.0,0.0
