,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,-100163.142,-5503180.584488,268041.928,-13325.55,91070.28
Tax Rate For Calcs,0.243,0.059192,0.328,0.21,0.21
Normalized EBITDA,6091341.0,3881766.0,4297870.0,2113014.0,4032309.0
Total Unusual Items,-412194.0,-92971677.0,817201.0,-63455.0,433668.0
Total Unusual Items Excluding Goodwill,-412194.0,-92971677.0,817201.0,-63455.0,433668.0
Net Income From Continuing Operation Net Minority Interest,2260795.0,-86647911.0,566014.0,-3584345.0,-231608.0
Reconciled Depreciation,2461130.0,3762894.0,3988997.0,3809404.0,3588887.0
Reconciled Cost Of Revenue,21959630.0,21081327.0,20929885.0,18868349.0,18527092.0
EBITDA,5679147.0,-89089911.0,5115071.0,2049559.0,4465977.0
EBIT,3218017.0,-92852805.0,1126074.0,-1759845.0,877090.0
Net Interest Income,-347727.0,-997312.0,-448600.0,-1464785.0,-1427424.0
Interest Expense,353726.0,1115179.0,510636.0,1481669.0,1471360.0
Interest Income,5999.0,117867.0,62036.0,16884.0,43936.0
Normalized Income,2572825.858,820585.415512,16854.928,-3534215.55,-574205.72
Net Income From Continuing And Discontinued Operation,2260795.0,-86647911.0,566014.0,-3584345.0,-231608.0
Total Expenses,46946746.0,50404681.0,47703929.0,45550218.0,42829070.0
Total Operating Income As Reported,3157124.0,-93370520.0,-387621.0,-2304850.0,-106017.0
Diluted Average Shares,12785352.0,12219910.0,11896564.0,11497369.0,10977405.0
Basic Average Shares,12640999.0,12219910.0,11647456.0,11497369.0,10977405.0
Diluted EPS,0.18,-7.089996,0.0,-0.36,-0.02
Basic EPS,0.18,-7.089996,0.0,-0.36,-0.02
Diluted NI Availto Com Stockholders,2260795.0,-86647911.0,566014.0,-3584345.0,-231608.0
Net Income Common Stockholders,2260795.0,-86647911.0,566014.0,-3584345.0,-231608.0
Net Income,2260795.0,-86647911.0,566014.0,-3584345.0,-231608.0
Minority Interests,92638.0,1757919.0,152212.0,147546.0,26609.0
Net Income Including Noncontrolling Interests,2168157.0,-88405830.0,413802.0,-3731891.0,-258217.0
Net Income Continuous Operations,2168157.0,-88405830.0,413802.0,-3731891.0,-258217.0
Tax Provision,696134.0,-5562154.0,201636.0,490377.0,-336053.0
Pretax Income,2864291.0,-93967984.0,615438.0,-3241514.0,-594270.0
Other Income Expense,54894.0,-92144635.0,1451659.0,528121.0,939171.0
Other Non Operating Income Expenses,467088.0,827042.0,634458.0,591576.0,505503.0
Gain On Sale Of Security,-412194.0,-427194.0,817201.0,-63455.0,433668.0
Net Non Operating Interest Income Expense,-347727.0,-997312.0,-448600.0,-1464785.0,-1427424.0
Interest Expense Non Operating,353726.0,1115179.0,510636.0,1481669.0,1471360.0
Interest Income Non Operating,5999.0,117867.0,62036.0,16884.0,43936.0
Operating Income,3157124.0,-826037.0,-387621.0,-2304850.0,-106017.0
Operating Expense,24987116.0,29323354.0,26774044.0,26681869.0,24301978.0
Selling General And Administration,24987116.0,20157556.0,26774044.0,26681869.0,24301978.0
Gross Profit,28144240.0,28497317.0,26386423.0,24377019.0,24195961.0
Cost Of Revenue,21959630.0,21081327.0,20929885.0,18868349.0,18527092.0
Total Revenue,50103870.0,49578644.0,47316308.0,43245368.0,42723053.0
Operating Revenue,50103870.0,49578644.0,47316308.0,43245368.0,42723053.0
