,2025-12-31,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,107862984.0,5760708.501638,-20613956.1
Tax Rate For Calcs,0.3,0.116559,0.3
Normalized EBITDA,94373940.0,25582781.0,-929335285.0
Total Unusual Items,359543280.0,49423033.0,-68713187.0
Total Unusual Items Excluding Goodwill,359543280.0,49423033.0,-68713187.0
Net Income From Continuing Operation Net Minority Interest,-95246028.0,-317142490.0,-1629338576.0
Reconciled Depreciation,72000866.0,79671937.0,106843774.0
Reconciled Cost Of Revenue,132256915.0,63612119.0,74694730.0
EBITDA,453917220.0,75005814.0,-998048472.0
EBIT,381777735.0,-4666123.0,-1104892248.0
Net Interest Income,-456387251.0,-350907598.0,-374703832.0
Interest Expense,448910344.0,354319431.0,366854875.0
Interest Income,-163496.0,9195745.0,5339579.0
Normalized Income,-346926324.0,-360804814.498362,-1581239345.1
Net Income From Continuing And Discontinued Operation,-95246028.0,-317142490.0,-1629338576.0
Total Expenses,384430441.0,385000947.0,1297199014.0
Diluted Average Shares,,79313981.0,
Basic Average Shares,,79313981.0,
Diluted EPS,,-3.998986,
Basic EPS,,-3.998986,
Diluted NI Availto Com Stockholders,-95246028.0,-317142490.0,-1629338576.0
Net Income Common Stockholders,-95246028.0,-317142490.0,-1629338576.0
Net Income,-95246028.0,-317142490.0,-1629338576.0
Net Income Including Noncontrolling Interests,-95246028.0,-317142490.0,-1629338576.0
Net Income Continuous Operations,-95246028.0,-317142490.0,-1629338576.0
Tax Provision,28113419.0,-41843064.0,157591453.0
Pretax Income,-67132609.0,-358985554.0,-1471747123.0
Other Income Expense,430684893.0,56185758.0,-95809960.0
Other Non Operating Income Expenses,71141613.0,6762725.0,-27096773.0
Gain On Sale Of Security,359543280.0,49423033.0,-225745594.0
Net Non Operating Interest Income Expense,-456387251.0,-350907598.0,-374703832.0
Total Other Finance Cost,7313411.0,5783912.0,13188536.0
Interest Expense Non Operating,448910344.0,354319431.0,366854875.0
Interest Income Non Operating,-163496.0,9195745.0,5339579.0
Operating Income,-41430251.0,-64277714.0,-1001233331.0
Operating Expense,252312145.0,321388828.0,1222504286.0
Other Operating Expenses,177604429.0,,
Other Taxes,-126366.0,,
Depreciation Amortization Depletion Income Statement,72139485.0,79671937.0,106843776.0
Depreciation And Amortization In Income Statement,72139485.0,79671937.0,106843776.0
Selling General And Administration,2694597.0,241716891.0,57993989.0
Selling And Marketing Expense,8457175.0,33533599.0,27088608.0
General And Administrative Expense,-5762578.0,208183292.0,30905381.0
Other Gand A,-122474499.0,90857152.0,-91688580.0
Insurance And Claims,10009651.0,13793150.0,24535505.0
Salaries And Wages,106702270.0,103532990.0,98058456.0
Gross Profit,210881894.0,257111114.0,221270955.0
Cost Of Revenue,132118296.0,63612119.0,74694728.0
Total Revenue,343000190.0,320723233.0,295965683.0
Operating Revenue,343000190.0,320723233.0,295965683.0
