,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-11171.2,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.4,0.21,0.21,0.21,0.21,
Normalized EBITDA,1158755.0,896691.0,1059366.0,4496847.0,1287680.0,
Total Unusual Items,-27928.0,0.0,0.0,0.0,0.0,
Total Unusual Items Excluding Goodwill,-27928.0,0.0,0.0,0.0,0.0,
Net Income From Continuing Operation Net Minority Interest,315827.0,839313.0,789296.0,4258400.0,1041058.0,
Reconciled Depreciation,176049.0,326772.0,289395.0,253935.0,252057.0,
Reconciled Cost Of Revenue,347604.0,256220.0,317872.0,212649.0,231455.0,
EBITDA,1130827.0,896691.0,1059366.0,4496847.0,1287680.0,
EBIT,954778.0,569919.0,769971.0,4242912.0,1035623.0,
Net Interest Income,-3205.0,398.0,-1434.0,-4740.0,-13010.0,
Interest Expense,3205.0,-398.0,1434.0,4740.0,13010.0,
Normalized Income,332583.8,839313.0,789296.0,4258400.0,1041058.0,
Net Income From Continuing And Discontinued Operation,315827.0,839313.0,789296.0,4258400.0,1041058.0,
Total Expenses,2946940.0,3272603.0,2301070.0,623777.0,1851648.0,
Total Operating Income As Reported,1056421.0,574984.0,798948.0,1968063.0,-93195.0,
Diluted Average Shares,5482458.0,5516245.0,5456286.0,5206536.0,3183558.0,
Basic Average Shares,5456286.0,5516245.0,5456286.0,5206536.0,3183558.0,
Diluted EPS,0.06,0.15,0.14,0.82,0.33,
Basic EPS,0.06,0.15,0.14,0.82,0.33,
Diluted NI Availto Com Stockholders,315827.0,839313.0,789296.0,4258400.0,1041058.0,
Net Income Common Stockholders,315827.0,839313.0,789296.0,4258400.0,1041058.0,
Net Income,315827.0,839313.0,789296.0,4258400.0,1041058.0,
Minority Interests,-635746.0,23738.0,20759.0,20228.0,18445.0,
Net Income Including Noncontrolling Interests,951573.0,815575.0,768537.0,4238172.0,1022613.0,
Net Income Continuous Operations,951573.0,815575.0,768537.0,4238172.0,1022613.0,
Pretax Income,951573.0,570317.0,768537.0,4238172.0,1022613.0,
Other Income Expense,-129571.0,-5065.0,-28977.0,2274849.0,1128818.0,
Other Non Operating Income Expenses,-101643.0,-5065.0,-28977.0,2274849.0,1128818.0,
Special Income Charges,-27928.0,0.0,0.0,0.0,0.0,
Other Special Charges,,,,,,0.0
Impairment Of Capital Assets,27928.0,,,,0.0,0.0
Net Non Operating Interest Income Expense,-3205.0,398.0,-1434.0,-4740.0,-13010.0,
Interest Expense Non Operating,3205.0,-398.0,1434.0,4740.0,13010.0,
Operating Income,1084349.0,574984.0,798948.0,1968063.0,-93195.0,
Operating Expense,2429803.0,2697383.0,1703253.0,168890.0,1386262.0,
Other Operating Expenses,,0.0,-4000.0,-1104497.0,-500000.0,-500000.0
Depreciation Amortization Depletion Income Statement,6516.0,7772.0,9450.0,11697.0,18126.0,
Depreciation And Amortization In Income Statement,6516.0,7772.0,9450.0,11697.0,18126.0,
Research And Development,514337.0,468975.0,418912.0,270343.0,601953.0,
Selling General And Administration,1908950.0,2220636.0,1278891.0,991347.0,1266183.0,
Selling And Marketing Expense,210319.0,264591.0,136024.0,126307.0,97701.0,
General And Administrative Expense,1698631.0,1956045.0,1142867.0,865040.0,1168482.0,
Other Gand A,1698631.0,1956045.0,1142867.0,865040.0,1168482.0,
Gross Profit,3514152.0,3272367.0,2502201.0,2136953.0,1293067.0,
Cost Of Revenue,517137.0,575220.0,597817.0,454887.0,465386.0,
Total Revenue,4031289.0,3847587.0,3100018.0,2591840.0,1758453.0,
Operating Revenue,4031289.0,3847587.0,3100018.0,2591840.0,1758453.0,
