,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.4,0.21,0.21,0.356,0.21,,
Normalized EBITDA,-7961000.0,825000.0,3609000.0,3683000.0,-638000.0,,
Total Unusual Items,,0.0,0.0,0.0,,-56000.0,0.0
Total Unusual Items Excluding Goodwill,,0.0,0.0,0.0,,-56000.0,0.0
Net Income From Continuing Operation Net Minority Interest,-10322000.0,-1003000.0,1533000.0,2490000.0,555000.0,,
Reconciled Depreciation,2871000.0,2467000.0,1243000.0,2445000.0,2165000.0,,
Reconciled Cost Of Revenue,18134000.0,17687000.0,16535000.0,16528000.0,15899000.0,,
EBITDA,-7961000.0,825000.0,3609000.0,3683000.0,-638000.0,,
EBIT,-10832000.0,-1642000.0,2366000.0,1238000.0,-2803000.0,,
Net Interest Income,1510000.0,1950000.0,2510000.0,2636000.0,3685000.0,,
Interest Income,,,2510000.0,2636000.0,,,4436000.0
Normalized Income,-10322000.0,-1003000.0,1533000.0,2490000.0,555000.0,,
Net Income From Continuing And Discontinued Operation,-10322000.0,-1003000.0,1533000.0,2490000.0,555000.0,,
Total Expenses,93315000.0,90168000.0,80894000.0,84791000.0,87377000.0,,
Total Operating Income As Reported,-10832000.0,-1642000.0,2366000.0,1238000.0,-2803000.0,,
Diluted Average Shares,24145066.0,26265642.0,29376837.0,30433519.0,33218817.0,,
Basic Average Shares,24145066.0,26265642.0,27995708.0,28479977.0,30779430.0,,
Diluted EPS,-0.43,-0.04,0.05,0.08,0.02,,
Basic EPS,-0.43,-0.04,0.05,0.09,0.02,,
Diluted NI Availto Com Stockholders,-10322000.0,-1003000.0,1533000.0,2490000.0,555000.0,,
Net Income Common Stockholders,-10322000.0,-1003000.0,1533000.0,2490000.0,555000.0,,
Net Income,-10322000.0,-1003000.0,1533000.0,2490000.0,555000.0,,
Net Income Including Noncontrolling Interests,-10322000.0,-1003000.0,1533000.0,2490000.0,555000.0,,
Net Income Continuous Operations,-10322000.0,-1003000.0,1533000.0,2490000.0,555000.0,,
Tax Provision,969000.0,1247000.0,3719000.0,1378000.0,-72000.0,,
Pretax Income,-9353000.0,244000.0,5252000.0,3868000.0,483000.0,,
Other Income Expense,-31000.0,-64000.0,376000.0,-6000.0,-399000.0,,
Other Non Operating Income Expenses,-31000.0,-64000.0,376000.0,-6000.0,-399000.0,,
Special Income Charges,,0.0,0.0,0.0,,-56000.0,0.0
Other Special Charges,,,,,,56000.0,
Net Non Operating Interest Income Expense,1510000.0,1950000.0,2510000.0,2636000.0,3685000.0,,
Total Other Finance Cost,-1510000.0,,,,-3685000.0,-4111000.0,-4436000.0
Interest Income Non Operating,,,2510000.0,2636000.0,,,4436000.0
Operating Income,-10832000.0,-1642000.0,2366000.0,1238000.0,-2803000.0,,
Operating Expense,73865000.0,71272000.0,63752000.0,66866000.0,70285000.0,,
Depreciation Amortization Depletion Income Statement,1555000.0,1258000.0,636000.0,1048000.0,972000.0,,
Depreciation And Amortization In Income Statement,1555000.0,1258000.0,636000.0,1048000.0,972000.0,,
Research And Development,14502000.0,14246000.0,14022000.0,14745000.0,18069000.0,,
Selling General And Administration,57808000.0,55768000.0,49094000.0,51073000.0,51244000.0,,
Selling And Marketing Expense,34048000.0,33639000.0,26629000.0,28809000.0,29858000.0,,
General And Administrative Expense,23760000.0,22129000.0,22465000.0,22264000.0,21386000.0,,
Other Gand A,23760000.0,22129000.0,22465000.0,22264000.0,21386000.0,,
Gross Profit,63033000.0,69630000.0,66118000.0,68104000.0,67482000.0,,
Cost Of Revenue,19450000.0,18896000.0,17142000.0,17925000.0,17092000.0,,
Total Revenue,82483000.0,88526000.0,83260000.0,86029000.0,84574000.0,,
Operating Revenue,82483000.0,88526000.0,83260000.0,86029000.0,84574000.0,,
