,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-224800.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.4,0.101124,0.21,0.21,0.000687,
Normalized EBITDA,-328000.0,713000.0,219000.0,-578000.0,-1987000.0,
Total Unusual Items,-562000.0,0.0,,,0.0,20000.0
Total Unusual Items Excluding Goodwill,-562000.0,0.0,,,0.0,20000.0
Net Income From Continuing Operation Net Minority Interest,-1498000.0,160000.0,-581000.0,-1244000.0,-2911000.0,
Reconciled Depreciation,458000.0,332000.0,510000.0,484000.0,700000.0,
Reconciled Cost Of Revenue,16215000.0,14582000.0,13742000.0,13674000.0,15134000.0,
EBITDA,-890000.0,713000.0,219000.0,-578000.0,-1987000.0,
EBIT,-1348000.0,381000.0,-291000.0,-1062000.0,-2687000.0,
Net Interest Income,-146000.0,-254000.0,-330000.0,-220000.0,-271000.0,
Interest Expense,131000.0,203000.0,280000.0,169000.0,226000.0,
Interest Income,3000.0,0.0,,,6000.0,1000.0
Normalized Income,-1160800.0,160000.0,-581000.0,-1244000.0,-2911000.0,
Net Income From Continuing And Discontinued Operation,-1498000.0,160000.0,-581000.0,-1244000.0,-2911000.0,
Total Expenses,26496000.0,20703000.0,20161000.0,20588000.0,23512000.0,
Total Operating Income As Reported,-773000.0,386000.0,-242000.0,-1013000.0,-2643000.0,
Diluted Average Shares,3875972.0,3637008.0,3498786.0,33315237.0,,32923321.0
Basic Average Shares,3875972.0,3540765.0,3498786.0,3331523.0,3296019.0,
Diluted EPS,-0.39,0.04,-0.17,-0.4,-0.9,
Basic EPS,-0.39,0.05,-0.17,-0.4,-0.9,
Diluted NI Availto Com Stockholders,-1498000.0,160000.0,-581000.0,-1244000.0,-2911000.0,
Net Income Common Stockholders,-1498000.0,160000.0,-581000.0,-1244000.0,-2911000.0,
Net Income,-1498000.0,160000.0,-581000.0,-1244000.0,-2911000.0,
Net Income Including Noncontrolling Interests,-1498000.0,160000.0,-581000.0,-1244000.0,-2911000.0,
Net Income Continuous Operations,-1498000.0,160000.0,-581000.0,-1244000.0,-2911000.0,
Tax Provision,19000.0,18000.0,10000.0,13000.0,-2000.0,
Pretax Income,-1479000.0,178000.0,-571000.0,-1231000.0,-2913000.0,
Other Income Expense,-560000.0,46000.0,1000.0,2000.0,1000.0,
Other Non Operating Income Expenses,2000.0,46000.0,1000.0,2000.0,1000.0,
Special Income Charges,-562000.0,0.0,,,0.0,20000.0
Restructuring And Mergern Acquisition,0.0,0.0,,,0.0,-20000.0
Net Non Operating Interest Income Expense,-146000.0,-254000.0,-330000.0,-220000.0,-271000.0,
Total Other Finance Cost,18000.0,51000.0,50000.0,51000.0,51000.0,
Interest Expense Non Operating,131000.0,203000.0,280000.0,169000.0,226000.0,
Interest Income Non Operating,3000.0,0.0,,,6000.0,1000.0
Operating Income,-773000.0,386000.0,-242000.0,-1013000.0,-2643000.0,
Operating Expense,10281000.0,6121000.0,6419000.0,6914000.0,8378000.0,
Research And Development,269000.0,237000.0,231000.0,208000.0,389000.0,
Selling General And Administration,10012000.0,5884000.0,6188000.0,6706000.0,7989000.0,
Selling And Marketing Expense,2808000.0,2499000.0,2376000.0,2416000.0,2951000.0,
General And Administrative Expense,7204000.0,3385000.0,3812000.0,4290000.0,5038000.0,
Other Gand A,7204000.0,3385000.0,3812000.0,4290000.0,5038000.0,
Gross Profit,9508000.0,6507000.0,6177000.0,5901000.0,5735000.0,
Cost Of Revenue,16215000.0,14582000.0,13742000.0,13674000.0,15134000.0,
Total Revenue,25723000.0,21089000.0,19919000.0,19575000.0,20869000.0,
Operating Revenue,25723000.0,21089000.0,19919000.0,19575000.0,20869000.0,
