,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.4,0.0,0.0,0.0,0.21,
Net Income From Continuing Operation Net Minority Interest,24000.0,-569000.0,-185000.0,-2819000.0,108000.0,
Reconciled Depreciation,1000.0,1000.0,0.0,0.0,0.0,
Interest Income,,0.0,0.0,0.0,0.0,47000.0
Normalized Income,24000.0,-569000.0,-185000.0,-2819000.0,108000.0,
Net Income From Continuing And Discontinued Operation,24000.0,-569000.0,-185000.0,-2819000.0,108000.0,
Total Expenses,583000.0,1041000.0,815000.0,3614000.0,570000.0,
Diluted Average Shares,7799832.0,7664122.0,9350000.0,7442922.0,6899062.0,
Basic Average Shares,7799832.0,7664122.0,9350000.0,7442922.0,6899062.0,
Diluted EPS,0.0,0.02,-0.02,-0.25,-0.02,
Basic EPS,0.0,0.02,-0.02,-0.25,-0.02,
Diluted NI Availto Com Stockholders,22000.0,120000.0,-187000.0,-1873000.0,-139000.0,
Net Income Common Stockholders,22000.0,120000.0,-187000.0,-1873000.0,-139000.0,
Otherunder Preferred Stock Dividend,2000.0,-689000.0,2000.0,-946000.0,247000.0,
Net Income,24000.0,-569000.0,-185000.0,-2819000.0,108000.0,
Minority Interests,-16000.0,-104000.0,-15000.0,131000.0,-14000.0,
Net Income Including Noncontrolling Interests,40000.0,-465000.0,-170000.0,-2950000.0,122000.0,
Net Income Continuous Operations,40000.0,-465000.0,-170000.0,-2950000.0,122000.0,
Pretax Income,40000.0,-465000.0,-170000.0,-2950000.0,122000.0,
Selling General And Administration,522000.0,531000.0,754000.0,1257000.0,505000.0,
General And Administrative Expense,522000.0,531000.0,754000.0,1257000.0,505000.0,
Other Gand A,522000.0,531000.0,754000.0,1257000.0,505000.0,
Total Revenue,623000.0,576000.0,645000.0,664000.0,692000.0,
Operating Revenue,623000.0,576000.0,645000.0,664000.0,692000.0,
Loss Adjustment Expense,,449000.0,,2293000.0,,
Net Policyholder Benefits And Claims,,449000.0,,2293000.0,,
