,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,17688000.0,18392396.084551,18795600.0,18709700.0,18017000.0
Tax Rate For Calcs,0.22,0.209959,0.207,0.223,0.215
Normalized EBITDA,794300000.0,723700000.0,751000000.0,961900000.0,1006400000.0
Total Unusual Items,80400000.0,87600000.0,90800000.0,83900000.0,83800000.0
Total Unusual Items Excluding Goodwill,80400000.0,87600000.0,90800000.0,83900000.0,83800000.0
Net Income From Continuing Operation Net Minority Interest,605300000.0,556900000.0,590000000.0,723800000.0,505100000.0
Reconciled Depreciation,200100000.0,209200000.0,205800000.0,207300000.0,205100000.0
Reconciled Cost Of Revenue,5559300000.0,5668100000.0,5502300000.0,6143300000.0,6036200000.0
EBITDA,874700000.0,811300000.0,841800000.0,1045800000.0,1090200000.0
EBIT,674600000.0,602100000.0,636000000.0,838500000.0,885100000.0
Net Interest Income,21300000.0,15200000.0,16800000.0,9500000.0,-325800000.0
Normalized Income,542588000.0,487692396.084551,517995600.0,658609700.0,439317000.0
Net Income From Continuing And Discontinued Operation,605300000.0,556900000.0,590000000.0,723800000.0,505100000.0
Total Expenses,6101900000.0,6218700000.0,6035800000.0,6672000000.0,6556600000.0
Diluted Average Shares,527400000.0,526800000.0,526700000.0,526700000.0,526900000.0
Basic Average Shares,526700000.0,526000000.0,525900000.0,525900000.0,525900000.0
Diluted EPS,1.15,1.06,1.12,1.37,0.96
Basic EPS,1.15,1.06,1.12,1.38,0.96
Diluted NI Availto Com Stockholders,605300000.0,556900000.0,590000000.0,723800000.0,505100000.0
Net Income Common Stockholders,605300000.0,556900000.0,590000000.0,723800000.0,505100000.0
Net Income,605300000.0,556900000.0,590000000.0,723800000.0,505100000.0
Net Income Including Noncontrolling Interests,605300000.0,556900000.0,590000000.0,723800000.0,505100000.0
Net Income Continuous Operations,605300000.0,556900000.0,590000000.0,723800000.0,505100000.0
Tax Provision,171000000.0,148000000.0,153600000.0,208100000.0,138000000.0
Pretax Income,776300000.0,704900000.0,743600000.0,931900000.0,643100000.0
Other Income Expense,80400000.0,87600000.0,90800000.0,83900000.0,83800000.0
Gain On Sale Of Security,80400000.0,87600000.0,90800000.0,83900000.0,83800000.0
Net Non Operating Interest Income Expense,21300000.0,15200000.0,16800000.0,9500000.0,-325800000.0
Total Other Finance Cost,-21300000.0,-15200000.0,-16800000.0,-9500000.0,325800000.0
Operating Income,674600000.0,602100000.0,636000000.0,838500000.0,885100000.0
Operating Expense,454500000.0,461200000.0,443200000.0,437800000.0,433600000.0
Provision For Doubtful Accounts,44100000.0,40500000.0,36500000.0,29200000.0,18300000.0
Depreciation Amortization Depletion Income Statement,112000000.0,119800000.0,115500000.0,116400000.0,118300000.0
Depreciation And Amortization In Income Statement,112000000.0,119800000.0,115500000.0,116400000.0,118300000.0
Depreciation Income Statement,112000000.0,119800000.0,115500000.0,116400000.0,118300000.0
Research And Development,109100000.0,106200000.0,111000000.0,112900000.0,115400000.0
Selling General And Administration,189300000.0,194700000.0,180200000.0,179300000.0,181600000.0
Gross Profit,1129100000.0,1063300000.0,1079200000.0,1276300000.0,1318700000.0
Cost Of Revenue,5647400000.0,5757500000.0,5592600000.0,6234200000.0,6123000000.0
Total Revenue,6776500000.0,6820800000.0,6671800000.0,7510500000.0,7441700000.0
Operating Revenue,6776500000.0,6820800000.0,6671800000.0,7510500000.0,7441700000.0
