,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-42265000.0,,-96383000.0,-15847000.0,-45360000.0,-162000000.0
Tax Rate For Calcs,0.395,,0.281,0.299,0.21,0.375
Normalized EBITDA,1099000000.0,,822000000.0,692000000.0,411000000.0,857000000.0
Total Unusual Items,-107000000.0,,-343000000.0,-53000000.0,-216000000.0,-432000000.0
Total Unusual Items Excluding Goodwill,-107000000.0,,-343000000.0,-53000000.0,-216000000.0,-432000000.0
Net Income From Continuing Operation Net Minority Interest,168000000.0,,57000000.0,152000000.0,-224000000.0,-4000000.0
Reconciled Depreciation,362000000.0,,87000000.0,88000000.0,95000000.0,96000000.0
Reconciled Cost Of Revenue,4855000000.0,,4624000000.0,4961000000.0,5692000000.0,4342000000.0
EBITDA,992000000.0,,479000000.0,639000000.0,195000000.0,425000000.0
EBIT,630000000.0,,392000000.0,551000000.0,100000000.0,329000000.0
Net Interest Income,-200000000.0,,-182000000.0,-179000000.0,-175000000.0,-178000000.0
Interest Expense,238000000.0,,214000000.0,217000000.0,215000000.0,209000000.0
Interest Income,38000000.0,,32000000.0,38000000.0,40000000.0,31000000.0
Normalized Income,232735000.0,,303617000.0,189153000.0,-53360000.0,266000000.0
Net Income From Continuing And Discontinued Operation,168000000.0,,57000000.0,152000000.0,-224000000.0,1000000.0
Total Expenses,6628000000.0,,6112000000.0,6592000000.0,7673000000.0,5969000000.0
Total Operating Income As Reported,616000000.0,,399000000.0,550000000.0,129000000.0,337000000.0
Diluted Average Shares,1118000000.0,1104000000.0,680000000.0,678000000.0,,670000000.0
Basic Average Shares,1110000000.0,1104000000.0,675000000.0,672000000.0,,667000000.0
Diluted EPS,0.15,-0.52,0.08,0.22,,0.0
Basic EPS,0.15,-0.52,0.08,0.23,,0.0
Diluted NI Availto Com Stockholders,168000000.0,,57000000.0,152000000.0,-238000000.0,1000000.0
Net Income Common Stockholders,168000000.0,,57000000.0,152000000.0,-238000000.0,1000000.0
Net Income,168000000.0,,57000000.0,152000000.0,-224000000.0,1000000.0
Minority Interests,-7000000.0,,-4000000.0,-9000000.0,-2000000.0,-20000000.0
Net Income Including Noncontrolling Interests,175000000.0,,61000000.0,161000000.0,-222000000.0,21000000.0
Net Income Discontinuous Operations,,,0.0,0.0,0.0,5000000.0
Net Income Continuous Operations,175000000.0,,61000000.0,161000000.0,-222000000.0,16000000.0
Earnings From Equity Interest Net Of Tax,-62000000.0,,-67000000.0,-73000000.0,-70000000.0,-59000000.0
Tax Provision,155000000.0,,50000000.0,100000000.0,37000000.0,45000000.0
Pretax Income,392000000.0,,178000000.0,334000000.0,-115000000.0,120000000.0
Other Income Expense,-127000000.0,,-377000000.0,-87000000.0,-251000000.0,-464000000.0
Other Non Operating Income Expenses,-20000000.0,,-34000000.0,-34000000.0,-35000000.0,-32000000.0
Special Income Charges,-103000000.0,,-338000000.0,-50000000.0,-182000000.0,-425000000.0
Gain On Sale Of Ppe,0.0,,0.0,35000000.0,,0.0
Write Off,,,157000000.0,,30000000.0,104000000.0
Impairment Of Capital Assets,,,157000000.0,,30000000.0,104000000.0
Restructuring And Mergern Acquisition,103000000.0,,181000000.0,85000000.0,152000000.0,321000000.0
Gain On Sale Of Security,-4000000.0,,-5000000.0,-3000000.0,-34000000.0,-7000000.0
Net Non Operating Interest Income Expense,-200000000.0,,-182000000.0,-179000000.0,-175000000.0,-178000000.0
Interest Expense Non Operating,238000000.0,,214000000.0,217000000.0,215000000.0,209000000.0
Interest Income Non Operating,38000000.0,,32000000.0,38000000.0,40000000.0,31000000.0
Operating Income,719000000.0,,737000000.0,600000000.0,311000000.0,762000000.0
Operating Expense,1773000000.0,,1488000000.0,1631000000.0,1981000000.0,1627000000.0
Depreciation Amortization Depletion Income Statement,362000000.0,,87000000.0,88000000.0,95000000.0,96000000.0
Depreciation And Amortization In Income Statement,362000000.0,,87000000.0,88000000.0,95000000.0,96000000.0
Selling General And Administration,1411000000.0,,1401000000.0,1543000000.0,1886000000.0,1531000000.0
General And Administrative Expense,1411000000.0,,1435000000.0,1543000000.0,1886000000.0,1531000000.0
Other Gand A,1411000000.0,,1401000000.0,1543000000.0,1886000000.0,1531000000.0
Salaries And Wages,18000000.0,,34000000.0,34000000.0,36000000.0,34000000.0
Gross Profit,2492000000.0,,2225000000.0,2231000000.0,2292000000.0,2389000000.0
Cost Of Revenue,4855000000.0,,4624000000.0,4961000000.0,5692000000.0,4342000000.0
Total Revenue,7347000000.0,,6849000000.0,7192000000.0,7984000000.0,6731000000.0
Operating Revenue,7347000000.0,,6849000000.0,7192000000.0,7984000000.0,6731000000.0
