,2026-03-31,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.4,0.25,0.25
Net Income From Continuing Operation Net Minority Interest,-383000000.0,-1027079000.0,-166000000.0
Reconciled Cost Of Revenue,653000000.0,1558729000.0,567000000.0
Normalized Income,-383000000.0,-1027079000.0,-166000000.0
Net Income From Continuing And Discontinued Operation,-383000000.0,-1027079000.0,-166000000.0
Total Expenses,653000000.0,1988552000.0,567000000.0
Diluted Average Shares,144861667.0,,70345152.0
Basic Average Shares,144861667.0,,70345152.0
Diluted EPS,-2.643902,,-2.359793
Basic EPS,-2.643902,,-2.359793
Diluted NI Availto Com Stockholders,-383000000.0,-1027079000.0,-166000000.0
Net Income Common Stockholders,-383000000.0,-1027079000.0,-166000000.0
Net Income,-383000000.0,-1027079000.0,-166000000.0
Net Income Including Noncontrolling Interests,-383000000.0,-1027079000.0,-166000000.0
Net Income Continuous Operations,-383000000.0,-1027079000.0,-166000000.0
Gross Profit,-20000000.0,-768124000.0,65000000.0
Cost Of Revenue,653000000.0,1558729000.0,567000000.0
Total Revenue,633000000.0,790605000.0,632000000.0
Operating Revenue,633000000.0,771118000.0,632000000.0
