,2026-03-31,2025-03-31
Tax Effect Of Unusual Items,-63813512.0,7729.713977
Tax Rate For Calcs,0.4,0.083001
Normalized EBITDA,2950860.0,22690852.0
Total Unusual Items,-159533780.0,93128.0
Total Unusual Items Excluding Goodwill,-159533780.0,93128.0
Net Income From Continuing Operation Net Minority Interest,-147589853.0,19730830.0
Reconciled Depreciation,579236.0,577583.0
Reconciled Cost Of Revenue,9626805.0,4140890.0
EBITDA,-156582920.0,22783980.0
EBIT,-157162156.0,22206397.0
Net Interest Income,113650.0,9872972.0
Interest Expense,514296.0,587986.0
Interest Income,627946.0,10460958.0
Normalized Income,-51869585.0,19645431.713977
Net Income From Continuing And Discontinued Operation,-147589853.0,19730830.0
Total Expenses,52434733.0,41913309.0
Rent Expense Supplemental,920702.0,1449441.0
Total Operating Income As Reported,5071770.0,10391280.0
Diluted Average Shares,400000000.0,400000638.0
Basic Average Shares,400000000.0,400000638.0
Diluted EPS,-0.368975,0.049327
Basic EPS,-0.368975,0.049327
Diluted NI Availto Com Stockholders,-147589853.0,19730830.0
Net Income Common Stockholders,-147589853.0,19730830.0
Net Income,-147589853.0,19730830.0
Minority Interests,10943780.0,-93232.0
Net Income Including Noncontrolling Interests,-158533633.0,19824062.0
Net Income Continuous Operations,-158533633.0,19824062.0
Tax Provision,857181.0,1794349.0
Pretax Income,-157676452.0,21618411.0
Other Income Expense,-162861872.0,1354159.0
Other Non Operating Income Expenses,-3328092.0,1261031.0
Gain On Sale Of Security,-159533780.0,93128.0
Net Non Operating Interest Income Expense,113650.0,9872972.0
Interest Expense Non Operating,514296.0,587986.0
Interest Income Non Operating,627946.0,10460958.0
Operating Income,5071770.0,10391280.0
Operating Expense,42807928.0,37772419.0
Other Operating Expenses,14835036.0,12011598.0
Depreciation Amortization Depletion Income Statement,579236.0,577583.0
Depreciation And Amortization In Income Statement,579236.0,577583.0
Selling General And Administration,27393656.0,25183238.0
General And Administrative Expense,27393656.0,25183238.0
Other Gand A,14539580.0,8138264.0
Insurance And Claims,166855.0,147309.0
Rent And Landing Fees,920702.0,1449441.0
Salaries And Wages,11766519.0,15448224.0
Gross Profit,47879698.0,48163699.0
Cost Of Revenue,9626805.0,4140890.0
Total Revenue,57506503.0,52304589.0
Operating Revenue,57506503.0,52304589.0
