,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-175820.0,-143310.0,-790350.0,-1031858.40708,-4788000.0,,
Tax Rate For Calcs,0.0149,0.0051,0.0479,0.048673,0.21,,
Normalized EBITDA,82300000.0,35900000.0,80200000.0,96600000.0,29700000.0,,
Total Unusual Items,-11800000.0,-28100000.0,-16500000.0,-21200000.0,-22800000.0,,
Total Unusual Items Excluding Goodwill,-11800000.0,-28100000.0,-16500000.0,-21200000.0,-22800000.0,,
Net Income From Continuing Operation Net Minority Interest,26400000.0,-38800000.0,13900000.0,21600000.0,-47700000.0,,
Reconciled Depreciation,13600000.0,15300000.0,16800000.0,20900000.0,21200000.0,,
Reconciled Cost Of Revenue,295700000.0,315700000.0,267100000.0,278800000.0,293000000.0,,
EBITDA,70500000.0,7800000.0,63700000.0,75400000.0,6900000.0,,
EBIT,56900000.0,-7500000.0,46900000.0,54500000.0,-14300000.0,,
Net Interest Income,-21300000.0,-22300000.0,-22500000.0,-22900000.0,-24700000.0,,
Interest Expense,30000000.0,31500000.0,32300000.0,31900000.0,32600000.0,,
Interest Income,8700000.0,9200000.0,9800000.0,9000000.0,7900000.0,,
Normalized Income,38024180.0,-10843310.0,29609650.0,41768141.59292,-29688000.0,,
Net Income From Continuing And Discontinued Operation,26400000.0,-38800000.0,13900000.0,21600000.0,-47700000.0,,
Total Expenses,571000000.0,645200000.0,496800000.0,540200000.0,623500000.0,,
Total Operating Income As Reported,52500000.0,-14300000.0,41300000.0,29600000.0,-32400000.0,,
Diluted Average Shares,512261196.0,421310905.0,430004926.0,402356586.0,394010264.0,,
Basic Average Shares,428911447.0,421310905.0,413108105.0,402356586.0,394010264.0,,
Diluted EPS,0.06,-0.09,0.03,0.05,-0.12,,
Basic EPS,0.06,-0.09,0.03,0.05,-0.12,,
Diluted NI Availto Com Stockholders,26400000.0,-38800000.0,13900000.0,21600000.0,-47700000.0,,
Net Income Common Stockholders,26400000.0,-38800000.0,13900000.0,21600000.0,-47700000.0,,
Net Income,26400000.0,-38800000.0,13900000.0,21600000.0,-47700000.0,,
Net Income Including Noncontrolling Interests,26500000.0,-38800000.0,13900000.0,21500000.0,-47700000.0,,
Net Income Continuous Operations,26500000.0,-38800000.0,13900000.0,21500000.0,-47700000.0,,
Tax Provision,400000.0,-200000.0,700000.0,1100000.0,800000.0,,
Pretax Income,26900000.0,-39000000.0,14600000.0,22600000.0,-46900000.0,,
Other Income Expense,-11800000.0,-28000000.0,-16800000.0,-21100000.0,-22900000.0,,
Other Non Operating Income Expenses,,100000.0,-300000.0,,-100000.0,200000.0,-100000.0
Special Income Charges,-7500000.0,-25700000.0,-12700000.0,-37000000.0,-33100000.0,,
Other Special Charges,,,,,,,23500000.0
Write Off,3400000.0,23000000.0,,,30700000.0,16700000.0,
Impairment Of Capital Assets,,,8300000.0,,,,4900000.0
Restructuring And Mergern Acquisition,4100000.0,2700000.0,4400000.0,25200000.0,2400000.0,,
Gain On Sale Of Security,-4300000.0,-2400000.0,-3800000.0,15800000.0,10300000.0,,
Net Non Operating Interest Income Expense,-21300000.0,-22300000.0,-22500000.0,-22900000.0,-24700000.0,,
Interest Expense Non Operating,30000000.0,31500000.0,32300000.0,31900000.0,32600000.0,,
Interest Income Non Operating,8700000.0,9200000.0,9800000.0,9000000.0,7900000.0,,
Operating Income,60000000.0,11300000.0,54000000.0,66700000.0,600000.0,,
Operating Expense,267300000.0,320000000.0,229700000.0,261400000.0,317500000.0,,
Other Operating Expenses,,,,0.0,,,
Depreciation Amortization Depletion Income Statement,5600000.0,5800000.0,,,8200000.0,9100000.0,
Depreciation And Amortization In Income Statement,5600000.0,5800000.0,,,8200000.0,9100000.0,
Research And Development,58800000.0,65000000.0,62100000.0,55800000.0,59600000.0,,
Selling General And Administration,202900000.0,249200000.0,167600000.0,170600000.0,249700000.0,,
Selling And Marketing Expense,94800000.0,148700000.0,66800000.0,63100000.0,102300000.0,,
General And Administrative Expense,108100000.0,100500000.0,100800000.0,107500000.0,147400000.0,,
Other Gand A,108100000.0,100500000.0,100800000.0,107500000.0,147400000.0,,
Gross Profit,327300000.0,331300000.0,283700000.0,328100000.0,318100000.0,,
Cost Of Revenue,303700000.0,325200000.0,267100000.0,278800000.0,306000000.0,,
Total Revenue,630900000.0,656500000.0,550800000.0,606900000.0,624000000.0,,
Operating Revenue,630900000.0,656500000.0,550800000.0,606900000.0,624000000.0,,
