,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-9560.008713,634410.0,0.0,-134400.0,0.0,,
Tax Rate For Calcs,0.004792,0.21,0.100118,0.21,0.07856,,
Normalized EBITDA,-852000.0,6461000.0,-4433000.0,-5211000.0,-2265000.0,,
Total Unusual Items,-1995000.0,3021000.0,0.0,-640000.0,0.0,,
Total Unusual Items Excluding Goodwill,-1995000.0,3021000.0,0.0,-640000.0,0.0,,
Net Income From Continuing Operation Net Minority Interest,-4569000.0,11410000.0,-4432000.0,-6707000.0,-2556000.0,,
Reconciled Depreciation,68000.0,549000.0,646000.0,573000.0,828000.0,,
Reconciled Cost Of Revenue,193000.0,-12409000.0,4400000.0,4471000.0,8000.0,,
EBITDA,-2847000.0,9482000.0,-4433000.0,-5851000.0,-2265000.0,,
EBIT,-2915000.0,8933000.0,-5079000.0,-6424000.0,-3093000.0,,
Net Interest Income,319000.0,-91000.0,51000.0,66000.0,38000.0,,
Interest Expense,,,25000.0,10000.0,12000.0,15000.0,7000.0
Interest Income,319000.0,-138000.0,76000.0,76000.0,38000.0,,
Normalized Income,-2583560.008713,9023410.0,-4432000.0,-6201400.0,-2556000.0,,
Net Income From Continuing And Discontinued Operation,80584000.0,-3599000.0,-4432000.0,-6707000.0,-7761000.0,,
Total Expenses,3361000.0,-31583000.0,13926000.0,14110000.0,3093000.0,,
Total Operating Income As Reported,-4910000.0,9463000.0,-5622000.0,-7301000.0,-3093000.0,,
Diluted Average Shares,6468000.0,,5440000.0,5282000.0,5049000.0,4935666.0,
Basic Average Shares,6352000.0,,5440000.0,5282000.0,5049000.0,4935666.0,
Diluted EPS,12.46,,-0.81,-1.27,-1.54,-1.08,
Basic EPS,12.69,,-0.81,-1.27,-1.54,-1.08,
Diluted NI Availto Com Stockholders,80584000.0,-3599000.0,-4432000.0,-6707000.0,-7761000.0,,
Net Income Common Stockholders,80584000.0,-3599000.0,-4432000.0,-6707000.0,-7761000.0,,
Net Income,80584000.0,-3599000.0,-4432000.0,-6707000.0,-7761000.0,,
Minority Interests,0.0,121000.0,161000.0,218000.0,259000.0,,
Net Income Including Noncontrolling Interests,80584000.0,-3720000.0,-4593000.0,-6925000.0,-8020000.0,,
Net Income Discontinuous Operations,85153000.0,,,,-5205000.0,,
Net Income Continuous Operations,-4569000.0,11289000.0,-4593000.0,-6925000.0,-2815000.0,,
Tax Provision,-22000.0,-198000.0,-511000.0,491000.0,-240000.0,,
Pretax Income,-4591000.0,11091000.0,-5104000.0,-6434000.0,-3055000.0,,
Other Income Expense,-1995000.0,3021000.0,,-640000.0,-393000.0,-115000.0,
Special Income Charges,-1995000.0,3021000.0,0.0,-640000.0,0.0,,
Restructuring And Mergern Acquisition,1995000.0,-1033000.0,0.0,640000.0,0.0,,
Net Non Operating Interest Income Expense,319000.0,-91000.0,51000.0,66000.0,38000.0,,
Interest Expense Non Operating,,,25000.0,10000.0,12000.0,15000.0,7000.0
Interest Income Non Operating,319000.0,-138000.0,76000.0,76000.0,38000.0,,
Operating Income,-2915000.0,8161000.0,-5155000.0,-5860000.0,-3093000.0,,
Operating Expense,3168000.0,-19174000.0,9526000.0,9639000.0,3085000.0,,
Other Operating Expenses,,,-467000.0,-801000.0,-13000.0,,
Research And Development,965000.0,-14546000.0,5720000.0,5998000.0,971000.0,,
Selling General And Administration,2203000.0,-5909000.0,4273000.0,4442000.0,2114000.0,,
General And Administrative Expense,,,,,,,5016000.0
Other Gand A,,,,,,,4314000.0
Salaries And Wages,,,,,,,702000.0
Gross Profit,253000.0,-11013000.0,4371000.0,3779000.0,-8000.0,,
Cost Of Revenue,193000.0,-12409000.0,4400000.0,4471000.0,8000.0,,
Total Revenue,446000.0,-23422000.0,8771000.0,8250000.0,0.0,,
Operating Revenue,446000.0,-23422000.0,8771000.0,8250000.0,0.0,,
