,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,
Normalized EBITDA,-23988000.0,-38244000.0,-29730000.0,-29244000.0,-26864000.0,
Net Income From Continuing Operation Net Minority Interest,-19857000.0,-33763000.0,-26925000.0,-26732000.0,-24063000.0,
Reconciled Depreciation,227000.0,265000.0,256000.0,252000.0,244000.0,
EBITDA,-23988000.0,-38244000.0,-29730000.0,-29244000.0,-26864000.0,
EBIT,-24215000.0,-38509000.0,-29986000.0,-29496000.0,-27108000.0,
Net Interest Income,4358000.0,4746000.0,3061000.0,2764000.0,3045000.0,
Interest Income,4358000.0,4746000.0,3061000.0,2764000.0,3045000.0,
Normalized Income,-19857000.0,-33763000.0,-26925000.0,-26732000.0,-24063000.0,
Net Income From Continuing And Discontinued Operation,-19857000.0,-33763000.0,-26925000.0,-26732000.0,-24063000.0,
Total Expenses,44215000.0,38509000.0,29986000.0,29496000.0,27108000.0,
Total Operating Income As Reported,-24215000.0,-38509000.0,-29986000.0,-29496000.0,-27108000.0,
Diluted Average Shares,47236618.0,46978223.0,37931170.0,35444635.0,35266577.0,
Basic Average Shares,47236618.0,46978223.0,37931170.0,35444635.0,35266577.0,
Diluted EPS,-0.42,-0.72,-0.71,-0.75,-0.68,
Basic EPS,-0.42,-0.72,-0.71,-0.75,-0.68,
Diluted NI Availto Com Stockholders,-19857000.0,-33763000.0,-26925000.0,-26732000.0,-24063000.0,
Net Income Common Stockholders,-19857000.0,-33763000.0,-26925000.0,-26732000.0,-24063000.0,
Net Income,-19857000.0,-33763000.0,-26925000.0,-26732000.0,-24063000.0,
Net Income Including Noncontrolling Interests,-19857000.0,-33763000.0,-26925000.0,-26732000.0,-24063000.0,
Net Income Continuous Operations,-19857000.0,-33763000.0,-26925000.0,-26732000.0,-24063000.0,
Tax Provision,,,,,,0.0
Pretax Income,-19857000.0,-33763000.0,-26925000.0,-26732000.0,-24063000.0,
Other Income Expense,,,,,,0.0
Other Non Operating Income Expenses,,,,,,0.0
Net Non Operating Interest Income Expense,4358000.0,4746000.0,3061000.0,2764000.0,3045000.0,
Interest Income Non Operating,4358000.0,4746000.0,3061000.0,2764000.0,3045000.0,
Operating Income,-24215000.0,-38509000.0,-29986000.0,-29496000.0,-27108000.0,
Operating Expense,44215000.0,38509000.0,29986000.0,29496000.0,27108000.0,
Research And Development,32716000.0,30258000.0,22279000.0,22680000.0,19572000.0,
Selling General And Administration,11499000.0,8251000.0,7707000.0,6816000.0,7536000.0,
General And Administrative Expense,11499000.0,8251000.0,7707000.0,6816000.0,7536000.0,
Other Gand A,4516000.0,2223000.0,2220000.0,1771000.0,2577000.0,
Salaries And Wages,6983000.0,6028000.0,5487000.0,5045000.0,4959000.0,
Total Revenue,20000000.0,0.0,0.0,0.0,0.0,
Operating Revenue,20000000.0,0.0,0.0,0.0,0.0,
