,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,,
Normalized EBITDA,-3500000.0,800000.0,-8300000.0,7100000.0,-4700000.0,,
Total Unusual Items,-1000000.0,-4500000.0,0.0,-3100000.0,0.0,,
Total Unusual Items Excluding Goodwill,-1000000.0,-4500000.0,0.0,-3100000.0,0.0,,
Net Income From Continuing Operation Net Minority Interest,-15600000.0,-19700000.0,-18900000.0,-9100000.0,-15100000.0,,
Reconciled Depreciation,2300000.0,6900000.0,2700000.0,5500000.0,2400000.0,,
Reconciled Cost Of Revenue,3600000.0,4600000.0,4100000.0,5300000.0,4800000.0,,
EBITDA,-4500000.0,-3700000.0,-8300000.0,4000000.0,-4700000.0,,
EBIT,-6800000.0,-10600000.0,-11000000.0,-1500000.0,-7100000.0,,
Net Interest Income,-8400000.0,-9000000.0,-8900000.0,-8500000.0,-7800000.0,,
Interest Expense,8800000.0,9100000.0,7800000.0,7400000.0,8000000.0,,
Interest Income,400000.0,100000.0,100000.0,100000.0,200000.0,,
Normalized Income,-14600000.0,-15200000.0,-18900000.0,-6000000.0,-15100000.0,,
Net Income From Continuing And Discontinued Operation,-15000000.0,-17300000.0,-14000000.0,-6900000.0,-24900000.0,,
Total Expenses,26800000.0,27600000.0,27700000.0,30300000.0,28600000.0,,
Diluted Average Shares,4498625235.0,645785505.0,696801316.0,515135258.0,628055383.0,,
Basic Average Shares,4498625235.0,645785505.0,696801316.0,515135258.0,628055383.0,,
Diluted EPS,-0.04,-0.026789,-0.020092,-0.013395,-0.06,,
Basic EPS,-0.04,-0.026789,-0.020092,-0.013395,-0.06,,
Diluted NI Availto Com Stockholders,-15000000.0,-17300000.0,-14000000.0,-6900000.0,-24900000.0,,
Net Income Common Stockholders,-15000000.0,-17300000.0,-14000000.0,-6900000.0,-24900000.0,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,,
Net Income,-15000000.0,-17300000.0,-14000000.0,-6900000.0,-24900000.0,,
Net Income Including Noncontrolling Interests,-15000000.0,-17300000.0,-14000000.0,-6900000.0,-24900000.0,,
Net Income Discontinuous Operations,600000.0,2400000.0,4900000.0,2200000.0,-9800000.0,,
Net Income Continuous Operations,-15600000.0,-19700000.0,-18800000.0,-9100000.0,-15100000.0,,
Pretax Income,-15600000.0,-19700000.0,-18800000.0,-8900000.0,-15100000.0,,
Other Non Operating Income Expenses,1200000.0,1300000.0,800000.0,13100000.0,,-800000.0,
Special Income Charges,-1000000.0,-4500000.0,0.0,-3100000.0,0.0,,
Impairment Of Capital Assets,1000000.0,4500000.0,0.0,3100000.0,0.0,,
Net Non Operating Interest Income Expense,-8400000.0,-9000000.0,-8900000.0,-8500000.0,-7800000.0,,
Total Other Finance Cost,,,1200000.0,1200000.0,,,1000000.0
Interest Expense Non Operating,8800000.0,9100000.0,7800000.0,7400000.0,8000000.0,,
Interest Income Non Operating,400000.0,100000.0,100000.0,100000.0,200000.0,,
Operating Income,-7300000.0,-7500000.0,-10800000.0,-10400000.0,-7200000.0,,
Operating Expense,23200000.0,23000000.0,23600000.0,25000000.0,23800000.0,,
Other Operating Expenses,11400000.0,11600000.0,11600000.0,13000000.0,11500000.0,,
Depreciation And Amortization In Income Statement,2300000.0,2400000.0,2700000.0,2300000.0,2400000.0,,
Amortization,,,,,,0.0,0.0
Depreciation Income Statement,2300000.0,2400000.0,2700000.0,2300000.0,2400000.0,,
Gross Profit,15900000.0,15500000.0,12800000.0,14600000.0,16600000.0,,
Cost Of Revenue,3600000.0,4600000.0,4100000.0,5300000.0,4800000.0,,
Total Revenue,19500000.0,20100000.0,16900000.0,19900000.0,21400000.0,,
Operating Revenue,19500000.0,20100000.0,16900000.0,19900000.0,21400000.0,,
