,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0
Normalized EBITDA,-18911790.0,-20411233.0,-10316183.0,-10254712.0,-18437118.0
Total Unusual Items,-549964.0,78121.0,-11163.0,33406.0,218683.0
Total Unusual Items Excluding Goodwill,-549964.0,78121.0,-11163.0,33406.0,218683.0
Net Income From Continuing Operation Net Minority Interest,-19051956.0,-19867760.0,-10091496.0,-9866442.0,-17559465.0
EBITDA,-19461754.0,-20333112.0,-10327346.0,-10221306.0,-18218435.0
EBIT,-19461754.0,-20333112.0,-10327346.0,-10221306.0,-18218435.0
Net Interest Income,959762.0,387231.0,247013.0,321458.0,440287.0
Interest Income,959762.0,387231.0,247013.0,321458.0,440287.0
Normalized Income,-18501992.0,-19945881.0,-10080333.0,-9899848.0,-17778148.0
Net Income From Continuing And Discontinued Operation,-19051956.0,-19867760.0,-10091496.0,-9866442.0,-17559465.0
Total Expenses,19461754.0,20333112.0,10327346.0,10221306.0,18218435.0
Total Operating Income As Reported,-19461754.0,-20333112.0,-10327346.0,-10221306.0,-18218435.0
Diluted Average Shares,86596873.0,,33191622.0,33191622.0,30408890.0
Basic Average Shares,86596873.0,,33191622.0,33191622.0,30408890.0
Diluted EPS,-0.22,,-0.3,-0.3,-0.58
Basic EPS,-0.22,,-0.3,-0.3,-0.58
Diluted NI Availto Com Stockholders,-19051956.0,-19867760.0,-10091496.0,-9866442.0,-17559465.0
Net Income Common Stockholders,-19051956.0,-19867760.0,-10091496.0,-9866442.0,-17559465.0
Net Income,-19051956.0,-19867760.0,-10091496.0,-9866442.0,-17559465.0
Net Income Including Noncontrolling Interests,-19051956.0,-19867760.0,-10091496.0,-9866442.0,-17559465.0
Net Income Continuous Operations,-19051956.0,-19867760.0,-10091496.0,-9866442.0,-17559465.0
Pretax Income,-19051956.0,-19867760.0,-10091496.0,-9866442.0,-17559465.0
Other Income Expense,-549964.0,78121.0,-11163.0,33406.0,218683.0
Gain On Sale Of Security,-549964.0,78121.0,-11163.0,33406.0,218683.0
Net Non Operating Interest Income Expense,959762.0,387231.0,247013.0,321458.0,440287.0
Interest Income Non Operating,959762.0,387231.0,247013.0,321458.0,440287.0
Operating Income,-19461754.0,-20333112.0,-10327346.0,-10221306.0,-18218435.0
Operating Expense,19461754.0,20333112.0,10327346.0,10221306.0,18218435.0
Research And Development,8087845.0,8072479.0,4036267.0,2819377.0,11951023.0
Selling General And Administration,11373909.0,12260633.0,6291079.0,7401929.0,6267412.0
General And Administrative Expense,11373909.0,12260633.0,6291079.0,7401929.0,6267412.0
Other Gand A,11373909.0,12260633.0,6291079.0,7401929.0,6267412.0
Total Revenue,0.0,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0,0.0
