,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.4,0.21,0.0,0.0,0.0
Normalized EBITDA,-12879000.0,-15622000.0,-21985000.0,-28573000.0,-25513000.0
Total Unusual Items,,0.0,12500000.0,,
Total Unusual Items Excluding Goodwill,,0.0,12500000.0,,
Net Income From Continuing Operation Net Minority Interest,-8637000.0,-10738000.0,8173000.0,-24838000.0,-21476000.0
Reconciled Depreciation,421000.0,401000.0,401000.0,405000.0,397000.0
EBITDA,-12879000.0,-15622000.0,-9485000.0,-28573000.0,-25513000.0
EBIT,-13300000.0,-16023000.0,-9886000.0,-28978000.0,-25910000.0
Net Interest Income,5031000.0,5338000.0,5565000.0,4165000.0,4462000.0
Interest Income,5031000.0,5338000.0,5565000.0,4165000.0,4462000.0
Normalized Income,-8637000.0,-10738000.0,-4327000.0,-24838000.0,-21476000.0
Net Income From Continuing And Discontinued Operation,-8637000.0,-10738000.0,8173000.0,-24838000.0,-21476000.0
Total Expenses,39823000.0,40141000.0,31381000.0,29097000.0,26129000.0
Total Operating Income As Reported,-13300000.0,-16023000.0,2614000.0,-28978000.0,-25910000.0
Diluted Average Shares,44758800.0,44579697.0,45602099.0,44165168.0,43937410.0
Basic Average Shares,44758800.0,44579697.0,44343085.0,44165168.0,43937410.0
Diluted EPS,-0.19,-0.24,0.18,-0.56,-0.49
Basic EPS,-0.19,-0.24,0.18,-0.56,-0.49
Diluted NI Availto Com Stockholders,-8637000.0,-10738000.0,8173000.0,-24838000.0,-21476000.0
Net Income Common Stockholders,-8637000.0,-10738000.0,8173000.0,-24838000.0,-21476000.0
Net Income,-8637000.0,-10738000.0,8173000.0,-24838000.0,-21476000.0
Net Income Including Noncontrolling Interests,-8637000.0,-10738000.0,8173000.0,-24838000.0,-21476000.0
Net Income Continuous Operations,-8637000.0,-10738000.0,8173000.0,-24838000.0,-21476000.0
Tax Provision,337000.0,12000.0,0.0,0.0,0.0
Pretax Income,-8300000.0,-10726000.0,8173000.0,-24838000.0,-21476000.0
Other Income Expense,-31000.0,-41000.0,12494000.0,-25000.0,-28000.0
Other Non Operating Income Expenses,-31000.0,-41000.0,-6000.0,-25000.0,-28000.0
Special Income Charges,,0.0,12500000.0,,
Gain On Sale Of Ppe,,0.0,12500000.0,,
Net Non Operating Interest Income Expense,5031000.0,5338000.0,5565000.0,4165000.0,4462000.0
Interest Income Non Operating,5031000.0,5338000.0,5565000.0,4165000.0,4462000.0
Operating Income,-13300000.0,-16023000.0,-9886000.0,-28978000.0,-25910000.0
Operating Expense,39823000.0,40141000.0,31381000.0,29097000.0,26129000.0
Research And Development,29535000.0,31861000.0,24264000.0,22188000.0,19271000.0
Selling General And Administration,10288000.0,8280000.0,7117000.0,6909000.0,6858000.0
General And Administrative Expense,10288000.0,8280000.0,7117000.0,6909000.0,6858000.0
Other Gand A,10288000.0,8280000.0,7117000.0,6909000.0,6858000.0
Total Revenue,26523000.0,24118000.0,21495000.0,119000.0,219000.0
Operating Revenue,26523000.0,24118000.0,21495000.0,119000.0,219000.0
