,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.222552,0.17235,0.157,0.155,0.230651,,
Normalized EBITDA,66457000.0,51953000.0,32007000.0,36497000.0,50194000.0,,
Total Unusual Items,,0.0,0.0,0.0,,0.0,0.0
Total Unusual Items Excluding Goodwill,,0.0,0.0,0.0,,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,51303000.0,42691000.0,26671000.0,27604000.0,36164000.0,,
Reconciled Depreciation,436000.0,389000.0,369000.0,324000.0,274000.0,,
Reconciled Cost Of Revenue,36202000.0,36425000.0,35678000.0,25924000.0,30365000.0,,
EBITDA,66457000.0,51953000.0,32007000.0,36497000.0,50194000.0,,
EBIT,66021000.0,51564000.0,31638000.0,36173000.0,49920000.0,,
Net Interest Income,,,,-3501000.0,-2914000.0,-3441072.0,-3327998.0
Interest Expense,,,,3501000.0,2914000.0,3441072.0,3327998.0
Normalized Income,51303000.0,42691000.0,26671000.0,27604000.0,36164000.0,,
Net Income From Continuing And Discontinued Operation,51303000.0,42691000.0,26671000.0,27604000.0,36164000.0,,
Total Expenses,69518000.0,78305000.0,85158000.0,62616000.0,55017000.0,,
Total Operating Income As Reported,69036000.0,55247000.0,35561000.0,36086000.0,49895000.0,,
Diluted Average Shares,34932000.0,,35675000.0,35507000.0,36171000.0,,35434998.0
Basic Average Shares,33764000.0,,34048000.0,33733000.0,33852000.0,,33272118.0
Diluted EPS,1.47,,0.75,0.78,1.0,,0.436667
Basic EPS,1.52,,0.78,0.82,1.07,,0.465
Diluted NI Availto Com Stockholders,51303000.0,42691000.0,26671000.0,27604000.0,36164000.0,,
Net Income Common Stockholders,51303000.0,42691000.0,26671000.0,27604000.0,36164000.0,,
Net Income,51303000.0,42691000.0,26671000.0,27604000.0,36164000.0,,
Net Income Including Noncontrolling Interests,51303000.0,42691000.0,26671000.0,27604000.0,36164000.0,,
Net Income Continuous Operations,51303000.0,42691000.0,26671000.0,27604000.0,36164000.0,,
Tax Provision,14686000.0,8890000.0,4961000.0,5068000.0,10842000.0,,
Pretax Income,65989000.0,51581000.0,31632000.0,32672000.0,47006000.0,,
Other Income Expense,-32000.0,17000.0,-6000.0,87000.0,25000.0,,
Other Non Operating Income Expenses,-32000.0,17000.0,-6000.0,87000.0,25000.0,,
Special Income Charges,,0.0,0.0,0.0,,0.0,0.0
Other Special Charges,,,,,,0.0,
Gain On Sale Of Security,,,,,,0.0,
Net Non Operating Interest Income Expense,,,,-3501000.0,-2914000.0,-3441072.0,-3327998.0
Interest Expense Non Operating,,,,3501000.0,2914000.0,3441072.0,3327998.0
Operating Income,66021000.0,51564000.0,31638000.0,36086000.0,49895000.0,,
Operating Expense,33316000.0,41880000.0,49480000.0,36692000.0,24652000.0,,
Other Operating Expenses,4415000.0,3934000.0,3705000.0,3428000.0,3374000.0,,
Provision For Doubtful Accounts,13675000.0,23674000.0,32177000.0,20646000.0,12801000.0,,
Selling General And Administration,15226000.0,14272000.0,13598000.0,12618000.0,8477000.0,,
Selling And Marketing Expense,11246000.0,9298000.0,8775000.0,8772000.0,5346000.0,,
General And Administrative Expense,3980000.0,4974000.0,4823000.0,3846000.0,3131000.0,,
Other Gand A,3980000.0,4974000.0,4823000.0,3846000.0,3131000.0,,
Gross Profit,99337000.0,93444000.0,81118000.0,72778000.0,74547000.0,,
Cost Of Revenue,36202000.0,36425000.0,35678000.0,25924000.0,30365000.0,,
Total Revenue,135539000.0,129869000.0,116796000.0,98702000.0,104912000.0,,
Operating Revenue,135539000.0,129869000.0,116796000.0,98702000.0,104912000.0,,
