,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.4,0.21,0.21,0.21,0.21
Normalized EBITDA,-126910.0,-324823.0,-258011.0,-181535.0,-241472.0
Net Income From Continuing Operation Net Minority Interest,2028399.0,2017186.0,2252165.0,2297552.0,2222746.0
EBITDA,-126910.0,-324823.0,-258011.0,-181535.0,-241472.0
EBIT,-126910.0,-324823.0,-258011.0,-181535.0,-241472.0
Net Interest Income,2155309.0,2342009.0,2510176.0,2479087.0,2464218.0
Interest Income,2155309.0,2342009.0,2510176.0,2479087.0,2464218.0
Normalized Income,2028399.0,2017186.0,2252165.0,2297552.0,2222746.0
Net Income From Continuing And Discontinued Operation,2028399.0,2017186.0,2252165.0,2297552.0,2222746.0
Total Expenses,126910.0,324823.0,258011.0,181535.0,241472.0
Total Operating Income As Reported,-126910.0,-324823.0,-258011.0,-181535.0,-241472.0
Diluted Average Shares,30666667.0,,30666667.0,32822171.0,30666667.0
Basic Average Shares,30666667.0,,30666667.0,32822171.0,30666667.0
Diluted EPS,0.07,,0.07,0.07,0.07
Basic EPS,0.07,,0.07,0.07,0.07
Diluted NI Availto Com Stockholders,2028399.0,2017186.0,2252165.0,2297552.0,2222746.0
Net Income Common Stockholders,2028399.0,2017186.0,2252165.0,2297552.0,2222746.0
Net Income,2028399.0,2017186.0,2252165.0,2297552.0,2222746.0
Net Income Including Noncontrolling Interests,2028399.0,2017186.0,2252165.0,2297552.0,2222746.0
Net Income Continuous Operations,2028399.0,2017186.0,2252165.0,2297552.0,2222746.0
Pretax Income,2028399.0,2017186.0,2252165.0,2297552.0,2222746.0
Net Non Operating Interest Income Expense,2155309.0,2342009.0,2510176.0,2479087.0,2464218.0
Interest Income Non Operating,2155309.0,2342009.0,2510176.0,2479087.0,2464218.0
Operating Income,-126910.0,-324823.0,-258011.0,-181535.0,-241472.0
Operating Expense,126910.0,324823.0,258011.0,181535.0,241472.0
Selling General And Administration,126910.0,324823.0,258011.0,181535.0,241472.0
General And Administrative Expense,126910.0,324823.0,258011.0,181535.0,241472.0
Other Gand A,126910.0,324823.0,258011.0,181535.0,241472.0
Total Revenue,0.0,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0,0.0
