,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,10350000.0,5046360.0,6829756.0,7468650.0,9831360.0
Tax Rate For Calcs,0.4,0.165,0.148,0.21,0.21
Normalized EBITDA,-10360000.0,-208702000.0,-706088000.0,-39957000.0,-22273000.0
Total Unusual Items,25875000.0,30584000.0,46147000.0,35565000.0,46816000.0
Total Unusual Items Excluding Goodwill,25875000.0,30584000.0,46147000.0,35565000.0,46816000.0
Net Income From Continuing Operation Net Minority Interest,-7791000.0,-123451000.0,-366142000.0,-38424000.0,-18508000.0
Reconciled Depreciation,11439000.0,11408000.0,11460000.0,11424000.0,11402000.0
Reconciled Cost Of Revenue,360447000.0,288316000.0,247213000.0,191684000.0,214249000.0
EBITDA,15515000.0,-178118000.0,-659941000.0,-4392000.0,24543000.0
EBIT,4076000.0,-189526000.0,-671401000.0,-15816000.0,13141000.0
Net Interest Income,-762000.0,-2668000.0,-1201000.0,-2038000.0,27000.0
Interest Expense,4420000.0,5123000.0,4425000.0,4534000.0,3191000.0
Interest Income,3658000.0,2455000.0,3224000.0,2496000.0,3218000.0
Normalized Income,-23316000.0,-148988640.0,-405459244.0,-66520350.0,-55492640.0
Net Income From Continuing And Discontinued Operation,-7791000.0,-123451000.0,-366142000.0,-38424000.0,-18508000.0
Total Expenses,608916000.0,807764000.0,1176975000.0,423316000.0,383598000.0
Diluted Average Shares,80297984.0,79465039.0,78561587.0,77846710.0,75975770.0
Basic Average Shares,80297984.0,79465039.0,78561587.0,77846710.0,75975770.0
Diluted EPS,-0.1,-1.55,-4.66,-0.49,-0.24
Basic EPS,-0.1,-1.55,-4.66,-0.49,-0.24
Diluted NI Availto Com Stockholders,-7791000.0,-123451000.0,-366142000.0,-38424000.0,-18508000.0
Average Dilution Earnings,,,,0.0,
Net Income Common Stockholders,-7791000.0,-123451000.0,-366142000.0,-38424000.0,-18508000.0
Net Income,-7791000.0,-123451000.0,-366142000.0,-38424000.0,-18508000.0
Minority Interests,-14451000.0,38984000.0,209348000.0,-26413000.0,-31661000.0
Net Income Including Noncontrolling Interests,6660000.0,-162435000.0,-575490000.0,-12011000.0,13153000.0
Net Income Continuous Operations,6660000.0,-162435000.0,-575490000.0,-12011000.0,13153000.0
Tax Provision,-7004000.0,-32214000.0,-100336000.0,-8339000.0,-3203000.0
Pretax Income,-344000.0,-194649000.0,-675826000.0,-20350000.0,9950000.0
Other Income Expense,20754000.0,29272000.0,48125000.0,40717000.0,15792000.0
Other Non Operating Income Expenses,-5121000.0,-1312000.0,1978000.0,5152000.0,-31024000.0
Gain On Sale Of Security,25875000.0,30584000.0,46147000.0,35565000.0,46816000.0
Net Non Operating Interest Income Expense,-762000.0,-2668000.0,-1201000.0,-2038000.0,27000.0
Interest Expense Non Operating,4420000.0,5123000.0,4425000.0,4534000.0,3191000.0
Interest Income Non Operating,3658000.0,2455000.0,3224000.0,2496000.0,3218000.0
Operating Income,-20336000.0,-221253000.0,-722750000.0,-59029000.0,-5869000.0
Operating Expense,248469000.0,519448000.0,929762000.0,231632000.0,169349000.0
Selling General And Administration,248469000.0,519448000.0,929762000.0,231632000.0,169349000.0
General And Administrative Expense,248469000.0,519448000.0,929762000.0,231632000.0,169349000.0
Other Gand A,48408000.0,50640000.0,45292000.0,42914000.0,43152000.0
Salaries And Wages,200061000.0,468808000.0,884470000.0,188718000.0,126197000.0
Gross Profit,228133000.0,298195000.0,207012000.0,172603000.0,163480000.0
Cost Of Revenue,360447000.0,288316000.0,247213000.0,191684000.0,214249000.0
Total Revenue,588580000.0,586511000.0,454225000.0,364287000.0,377729000.0
Operating Revenue,588580000.0,586511000.0,454225000.0,364287000.0,377729000.0
