,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,-956539954.957939,-2243410962.660388,-1215520865.303363,-508269376.941664
Tax Rate For Calcs,0.23306,0.19542,0.274256,0.336076,0.160758
Normalized EBITDA,44127000000.0,55273300000.0,47661200000.0,43289600000.0,44746400000.0
Total Unusual Items,0.0,-4894800000.0,-8180000000.0,-3616800000.0,-3161700000.0
Total Unusual Items Excluding Goodwill,0.0,-4894800000.0,-8180000000.0,-3616800000.0,-3161700000.0
Net Income From Continuing Operation Net Minority Interest,27140300000.0,33688100000.0,22786300000.0,21498800000.0,29033800000.0
Reconciled Depreciation,7754700000.0,7323300000.0,7005500000.0,6637900000.0,6305600000.0
Reconciled Cost Of Revenue,28010900000.0,29451000000.0,28147600000.0,26371900000.0,27405400000.0
EBITDA,44127000000.0,50378500000.0,39481200000.0,39672800000.0,41584700000.0
EBIT,36372300000.0,43055200000.0,32475700000.0,33034900000.0,35279100000.0
Net Interest Income,-858900000.0,-783600000.0,-748000000.0,-491400000.0,-515100000.0
Interest Expense,858900000.0,783600000.0,748000000.0,491400000.0,515100000.0
Normalized Income,27140300000.0,37626360045.04206,28722889037.33961,23900079134.696636,31687230623.058334
Net Income From Continuing And Discontinued Operation,27140300000.0,33688100000.0,22786300000.0,21498800000.0,29033800000.0
Total Expenses,118077700000.0,114068300000.0,104140000000.0,100545200000.0,98751300000.0
Diluted Average Shares,2401796460.0,2406292857.0,2398557895.0,2388755556.0,2399487603.0
Basic Average Shares,2401796460.0,2406292857.0,2398557895.0,2388755556.0,2399487603.0
Diluted EPS,11.3,14.0,9.5,9.0,12.1
Basic EPS,11.3,14.0,9.5,9.0,12.1
Diluted NI Availto Com Stockholders,27140300000.0,33688100000.0,22786300000.0,21498800000.0,29033800000.0
Net Income Common Stockholders,27140300000.0,33688100000.0,22786300000.0,21498800000.0,29033800000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,27140300000.0,33688100000.0,22786300000.0,21498800000.0,29033800000.0
Minority Interests,43700000.0,-123600000.0,-142400000.0,-40500000.0,-96000000.0
Net Income Including Noncontrolling Interests,27096600000.0,33811700000.0,22928700000.0,21539300000.0,29129800000.0
Net Income Continuous Operations,27096060000.0,33811700000.0,22928700000.0,21539300000.0,29129800000.0
Tax Provision,8276740000.0,8260700000.0,8701500000.0,10937100000.0,5588600000.0
Pretax Income,35513400000.0,42271600000.0,31727700000.0,32543500000.0,34764000000.0
Other Non Operating Income Expenses,4585000000.0,5788400000.0,4644600000.0,6128700000.0,4656200000.0
Special Income Charges,0.0,-4894800000.0,-8180000000.0,-3616800000.0,-3161700000.0
Other Special Charges,,4894800000.0,,-66400000.0,
Net Non Operating Interest Income Expense,-858900000.0,-783600000.0,-748000000.0,-491400000.0,-515100000.0
Interest Expense Non Operating,858900000.0,783600000.0,748000000.0,491400000.0,515100000.0
Operating Income,27519800000.0,40622400000.0,33720700000.0,27610600000.0,35618100000.0
Operating Expense,90066800000.0,84617300000.0,75992400000.0,74173300000.0,71345900000.0
Other Operating Expenses,53228400000.0,48888700000.0,41623600000.0,44082800000.0,41902700000.0
Depreciation And Amortization In Income Statement,7754700000.0,7323300000.0,7005500000.0,6637900000.0,6305600000.0
Depreciation Income Statement,7754700000.0,7323300000.0,7005500000.0,6637900000.0,6305600000.0
Gross Profit,117586600000.0,125239700000.0,109713100000.0,101783900000.0,106964000000.0
Cost Of Revenue,28010900000.0,29451000000.0,28147600000.0,26371900000.0,27405400000.0
Total Revenue,145597500000.0,154690700000.0,137860700000.0,128155800000.0,134369400000.0
Operating Revenue,145597500000.0,154690700000.0,137860700000.0,128155800000.0,134369400000.0
