,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0
Normalized EBITDA,4253350.0,1629699.0,4054959.0,3358314.0,3099437.0
Net Income From Continuing Operation Net Minority Interest,4253350.0,1629699.0,4054959.0,3358314.0,3099437.0
Reconciled Cost Of Revenue,4602773.0,2636782.0,2510821.0,1772352.0,336159.0
EBITDA,4253350.0,1629699.0,4054959.0,3358314.0,3099437.0
EBIT,4253350.0,1629699.0,4054959.0,3358314.0,3099437.0
Normalized Income,4253350.0,1629699.0,4054959.0,3358314.0,3099437.0
Net Income From Continuing And Discontinued Operation,4253350.0,1629699.0,4054959.0,3358314.0,3099437.0
Total Expenses,6019336.0,5537804.0,3439754.0,3394365.0,1859086.0
Diluted Average Shares,13325211.0,13304437.0,13284086.0,13259762.0,11221016.0
Basic Average Shares,13319225.0,13252698.0,13247030.0,13235823.0,11208015.0
Diluted EPS,0.32,0.12,0.3,0.25,0.27
Basic EPS,0.32,0.12,0.3,0.25,0.27
Diluted NI Availto Com Stockholders,4253350.0,1381241.0,4054959.0,3358314.0,3099437.0
Net Income Common Stockholders,4253350.0,1381241.0,4054959.0,3358314.0,3099437.0
Net Income,4253350.0,1629699.0,4054959.0,3358314.0,3099437.0
Net Income Including Noncontrolling Interests,4253350.0,1629699.0,4054959.0,3358314.0,3099437.0
Net Income Continuous Operations,4253350.0,1629699.0,4054959.0,3358314.0,3099437.0
Tax Provision,0.0,0.0,0.0,0.0,0.0
Pretax Income,4253350.0,1629699.0,4054959.0,3358314.0,3099437.0
Operating Income,4253350.0,1629699.0,4054959.0,3358314.0,3099437.0
Operating Expense,1416563.0,2901022.0,928933.0,1622013.0,1522927.0
Provision For Doubtful Accounts,60283.0,1636780.0,-193865.0,468493.0,117648.0
Selling General And Administration,1356280.0,1264242.0,1122798.0,1153520.0,1405279.0
General And Administrative Expense,1356280.0,1264242.0,1122798.0,1153520.0,1405279.0
Other Gand A,986318.0,1008068.0,862491.0,894454.0,1161658.0
Salaries And Wages,369962.0,256174.0,260307.0,259066.0,243621.0
Gross Profit,5669913.0,4530721.0,4983892.0,4980327.0,4622364.0
Cost Of Revenue,4602773.0,2636782.0,2510821.0,1772352.0,336159.0
Total Revenue,10272686.0,7167503.0,7494713.0,6752679.0,4958523.0
Operating Revenue,10272686.0,7167503.0,7494713.0,6752679.0,4958523.0
