,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31
Tax Effect Of Unusual Items,56588.0,0.0,7224.0,-1796.632124,724128.0,
Tax Rate For Calcs,0.301,0.362,0.168,0.299439,0.304,
Normalized EBITDA,13951000.0,12421000.0,5497000.0,22634000.0,9962000.0,
Total Unusual Items,188000.0,0.0,43000.0,-6000.0,2382000.0,
Total Unusual Items Excluding Goodwill,188000.0,0.0,43000.0,-6000.0,2382000.0,
Net Income From Continuing Operation Net Minority Interest,3753000.0,1917000.0,-3411000.0,9735000.0,2102000.0,
Reconciled Depreciation,7241000.0,8029000.0,8436000.0,7985000.0,7599000.0,
Reconciled Cost Of Revenue,100120000.0,94321000.0,63003000.0,100217000.0,87938000.0,
EBITDA,14139000.0,12421000.0,5540000.0,22628000.0,12344000.0,
EBIT,6898000.0,4392000.0,-2896000.0,14643000.0,4745000.0,
Net Interest Income,-1527000.0,-1385000.0,-1205000.0,-747000.0,-1723000.0,
Interest Expense,1527000.0,1385000.0,1205000.0,747000.0,1723000.0,
Normalized Income,3621588.0,1917000.0,-3446776.0,9739203.367876,444128.0,
Net Income From Continuing And Discontinued Operation,3753000.0,1917000.0,-3411000.0,9735000.0,2102000.0,
Total Expenses,129184000.0,120555000.0,88078000.0,126107000.0,113522000.0,
Total Operating Income As Reported,6713000.0,4115000.0,-2958000.0,14649000.0,4745000.0,
Diluted Average Shares,44982000.0,44737000.0,44262000.0,44508000.0,44398000.0,
Basic Average Shares,44493000.0,44396000.0,44262000.0,44040000.0,44038000.0,
Diluted EPS,0.08,0.04,-0.08,0.19,0.05,
Basic EPS,0.08,0.04,-0.08,0.2,0.05,
Diluted NI Availto Com Stockholders,3753000.0,1917000.0,-3411000.0,9735000.0,2102000.0,
Average Dilution Earnings,0.0,0.0,0.0,,0.0,0.0
Net Income Common Stockholders,3753000.0,1917000.0,-3411000.0,9735000.0,2102000.0,
Net Income,3753000.0,1917000.0,-3411000.0,9735000.0,2102000.0,
Net Income Including Noncontrolling Interests,3753000.0,1917000.0,-3411000.0,9735000.0,2102000.0,
Net Income Continuous Operations,3753000.0,1917000.0,-3411000.0,9735000.0,2102000.0,
Tax Provision,1618000.0,1090000.0,-690000.0,4161000.0,920000.0,
Pretax Income,5371000.0,3007000.0,-4101000.0,13896000.0,3022000.0,
Other Income Expense,373000.0,277000.0,105000.0,-12000.0,2382000.0,
Other Non Operating Income Expenses,185000.0,277000.0,62000.0,-6000.0,,-5000.0
Special Income Charges,188000.0,0.0,43000.0,-6000.0,2382000.0,
Gain On Sale Of Ppe,188000.0,0.0,43000.0,-6000.0,2382000.0,
Net Non Operating Interest Income Expense,-1527000.0,-1385000.0,-1205000.0,-747000.0,-1723000.0,
Interest Expense Non Operating,1527000.0,1385000.0,1205000.0,747000.0,1723000.0,
Operating Income,6525000.0,4115000.0,-3001000.0,14655000.0,2363000.0,
Operating Expense,29064000.0,26234000.0,25075000.0,25890000.0,25584000.0,
Research And Development,2412000.0,2433000.0,3007000.0,1962000.0,2869000.0,
Selling General And Administration,26652000.0,23801000.0,22068000.0,23928000.0,22715000.0,
Selling And Marketing Expense,11170000.0,10336000.0,8752000.0,11475000.0,10336000.0,
General And Administrative Expense,15482000.0,13465000.0,13316000.0,12453000.0,12379000.0,
Other Gand A,15482000.0,13465000.0,13316000.0,12453000.0,12379000.0,
Gross Profit,35589000.0,30349000.0,22074000.0,40545000.0,27947000.0,
Cost Of Revenue,100120000.0,94321000.0,63003000.0,100217000.0,87938000.0,
Total Revenue,135709000.0,124670000.0,85077000.0,140762000.0,115885000.0,
Operating Revenue,135709000.0,124670000.0,85077000.0,140762000.0,115885000.0,
