,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,-21217.187583,-61404.0,459305.0,399196.636481
Tax Rate For Calcs,0.008,0.062403,0.129,0.077,0.141009
Normalized EBITDA,-11067000.0,24239000.0,9251000.0,-3995000.0,1528000.0
Total Unusual Items,0.0,-340000.0,-476000.0,5965000.0,2831000.0
Total Unusual Items Excluding Goodwill,0.0,-340000.0,-476000.0,5965000.0,2831000.0
Net Income From Continuing Operation Net Minority Interest,-15206000.0,17609000.0,1717000.0,-2931000.0,-664000.0
Reconciled Depreciation,2893000.0,3120000.0,3086000.0,3098000.0,3126000.0
Reconciled Cost Of Revenue,30878000.0,71183000.0,50399000.0,38515000.0,40534000.0
EBITDA,-11067000.0,23899000.0,8775000.0,1970000.0,4359000.0
EBIT,-13960000.0,20779000.0,5689000.0,-1128000.0,1233000.0
Net Interest Income,-1369000.0,-1998000.0,-3718000.0,-2049000.0,-2006000.0
Interest Expense,1369000.0,1998000.0,3718000.0,2049000.0,2006000.0
Normalized Income,-15206000.0,17927782.812417,2131596.0,-8436695.0,-3095803.363519
Net Income From Continuing And Discontinued Operation,-15206000.0,17609000.0,1717000.0,-2931000.0,-664000.0
Total Expenses,56233000.0,97495000.0,74614000.0,63071000.0,65196000.0
Total Operating Income As Reported,-14061000.0,20944000.0,5367000.0,-329000.0,1536000.0
Diluted Average Shares,19498000.0,20257000.0,20406000.0,20667000.0,20506000.0
Basic Average Shares,19498000.0,19818000.0,20073000.0,20667000.0,20506000.0
Diluted EPS,-0.78,0.87,0.08,-0.14,-0.03
Basic EPS,-0.78,0.89,0.09,-0.14,-0.03
Diluted NI Availto Com Stockholders,-15206000.0,17609000.0,1717000.0,-2931000.0,-664000.0
Net Income Common Stockholders,-15206000.0,17609000.0,1717000.0,-2931000.0,-664000.0
Net Income,-15206000.0,17609000.0,1717000.0,-2931000.0,-664000.0
Net Income Including Noncontrolling Interests,-15206000.0,17609000.0,1717000.0,-2931000.0,-664000.0
Net Income Continuous Operations,-15206000.0,17609000.0,1717000.0,-2931000.0,-664000.0
Tax Provision,-123000.0,1172000.0,254000.0,-246000.0,-109000.0
Pretax Income,-15329000.0,18781000.0,1971000.0,-3177000.0,-773000.0
Other Income Expense,101000.0,-505000.0,-154000.0,5166000.0,2528000.0
Other Non Operating Income Expenses,101000.0,-165000.0,322000.0,-799000.0,-303000.0
Special Income Charges,0.0,-340000.0,-476000.0,5965000.0,2831000.0
Other Special Charges,,0.0,,-5965000.0,-3439000.0
Restructuring And Mergern Acquisition,0.0,340000.0,476000.0,0.0,608000.0
Net Non Operating Interest Income Expense,-1369000.0,-1998000.0,-3718000.0,-2049000.0,-2006000.0
Interest Expense Non Operating,1369000.0,1998000.0,3718000.0,2049000.0,2006000.0
Operating Income,-14061000.0,21284000.0,5843000.0,-6294000.0,-1295000.0
Operating Expense,25355000.0,26312000.0,24215000.0,24556000.0,24662000.0
Research And Development,4574000.0,4261000.0,4161000.0,4471000.0,3993000.0
Selling General And Administration,20781000.0,22051000.0,20054000.0,20085000.0,20669000.0
Selling And Marketing Expense,12260000.0,14788000.0,12513000.0,12731000.0,12453000.0
General And Administrative Expense,8521000.0,7263000.0,7541000.0,7354000.0,8216000.0
Other Gand A,8521000.0,7263000.0,7541000.0,7354000.0,8216000.0
Gross Profit,11294000.0,47596000.0,30058000.0,18262000.0,23367000.0
Cost Of Revenue,30878000.0,71183000.0,50399000.0,38515000.0,40534000.0
Total Revenue,42172000.0,118779000.0,80457000.0,56777000.0,63901000.0
Operating Revenue,42172000.0,118779000.0,80457000.0,56777000.0,63901000.0
