,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-3115.0,0.0,59360.0,0.0,-7358.0,
Tax Rate For Calcs,0.1246,0.18111,0.112,0.1752,0.1415,
Total Unusual Items,-25000.0,0.0,530000.0,0.0,-52000.0,
Total Unusual Items Excluding Goodwill,-25000.0,0.0,530000.0,0.0,-52000.0,
Net Income From Continuing Operation Net Minority Interest,836000.0,841000.0,680000.0,678000.0,643000.0,
Reconciled Depreciation,124000.0,151000.0,148000.0,148000.0,146000.0,
Net Interest Income,3397000.0,3497000.0,3242000.0,3130000.0,3278000.0,
Interest Expense,2139000.0,2284000.0,2287000.0,2300000.0,2306000.0,
Interest Income,5536000.0,5781000.0,5529000.0,5430000.0,5584000.0,
Normalized Income,857885.0,841000.0,209360.0,678000.0,687642.0,
Net Income From Continuing And Discontinued Operation,836000.0,841000.0,680000.0,678000.0,643000.0,
Diluted Average Shares,2885392.0,,2865622.0,2922938.0,2965742.0,
Basic Average Shares,2885392.0,,2769294.0,2828769.0,2863916.0,
Diluted EPS,0.289735,,0.24,0.24,0.22,
Basic EPS,0.289735,,0.25,0.24,0.22,
Diluted NI Availto Com Stockholders,836000.0,841000.0,680000.0,678000.0,643000.0,
Net Income Common Stockholders,836000.0,841000.0,680000.0,678000.0,643000.0,
Net Income,836000.0,841000.0,680000.0,678000.0,643000.0,
Net Income Including Noncontrolling Interests,836000.0,841000.0,680000.0,678000.0,643000.0,
Net Income Continuous Operations,836000.0,841000.0,680000.0,678000.0,643000.0,
Tax Provision,119000.0,186000.0,86000.0,144000.0,106000.0,
Pretax Income,955000.0,1027000.0,766000.0,822000.0,749000.0,
Special Income Charges,,0.0,0.0,0.0,0.0,0.0
Other Special Charges,,,,,,0.0
Gain On Sale Of Security,0.0,242000.0,0.0,73000.0,0.0,
Selling General And Administration,1696000.0,1796000.0,1619000.0,1640000.0,1725000.0,
General And Administrative Expense,1696000.0,1796000.0,1619000.0,1640000.0,1725000.0,
Salaries And Wages,1696000.0,1796000.0,1619000.0,1640000.0,1725000.0,
Total Revenue,4129000.0,4446000.0,4404000.0,3753000.0,3790000.0,
Operating Revenue,4129000.0,4446000.0,4404000.0,3753000.0,3790000.0,
Occupancy And Equipment,288000.0,281000.0,304000.0,266000.0,247000.0,
Other Non Interest Expense,1184000.0,1069000.0,1228000.0,1067000.0,956000.0,
