,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,
Normalized EBITDA,-989692.0,-2062581.0,-1102294.0,-5068548.0,-2179782.0,
Net Income From Continuing Operation Net Minority Interest,-990947.0,-2061193.0,-1102294.0,-5069890.0,-2179828.0,
EBITDA,-989692.0,-2062581.0,-1102294.0,-5068548.0,-2179782.0,
EBIT,-989692.0,-2062581.0,-1102294.0,-5068548.0,-2179782.0,
Net Interest Income,50389.0,73488.0,44182.0,20.0,7954.0,
Interest Expense,1255.0,-1388.0,0.0,1342.0,46.0,
Interest Income,51644.0,72100.0,44182.0,1362.0,8000.0,
Normalized Income,-990947.0,-2061193.0,-1102294.0,-5069890.0,-2179828.0,
Net Income From Continuing And Discontinued Operation,-990947.0,-2061193.0,-1102294.0,-5069890.0,-2179828.0,
Total Expenses,1041336.0,2134681.0,1146476.0,5069910.0,2187782.0,
Diluted Average Shares,34380971.0,,32398906.0,30010165.0,29762671.0,
Basic Average Shares,34380971.0,,32398906.0,30010165.0,29762671.0,
Diluted EPS,-0.03,,-0.03,-0.17,-0.07,
Basic EPS,-0.03,,-0.03,-0.17,-0.07,
Diluted NI Availto Com Stockholders,-990947.0,-2061193.0,-1102294.0,-5069890.0,-2179828.0,
Net Income Common Stockholders,-990947.0,-2061193.0,-1102294.0,-5069890.0,-2179828.0,
Net Income,-990947.0,-2061193.0,-1102294.0,-5069890.0,-2179828.0,
Net Income Including Noncontrolling Interests,-990947.0,-2061193.0,-1102294.0,-5069890.0,-2179828.0,
Net Income Continuous Operations,-990947.0,-2061193.0,-1102294.0,-5069890.0,-2179828.0,
Pretax Income,-990947.0,-2061193.0,-1102294.0,-5069890.0,-2179828.0,
Net Non Operating Interest Income Expense,50389.0,73488.0,44182.0,20.0,7954.0,
Total Other Finance Cost,,,,,-7954.0,
Interest Expense Non Operating,1255.0,-1388.0,0.0,1342.0,46.0,
Interest Income Non Operating,51644.0,72100.0,44182.0,1362.0,8000.0,
Operating Income,-1041336.0,-2134681.0,-1146476.0,-5069910.0,-2187782.0,
Operating Expense,1041336.0,2134681.0,1146476.0,5069910.0,2187782.0,
Other Operating Expenses,,,,,,0.0
Research And Development,467797.0,1296209.0,759525.0,42839.0,336996.0,
Selling General And Administration,573539.0,838472.0,386951.0,5027071.0,1850786.0,
General And Administrative Expense,573539.0,838472.0,386951.0,5027071.0,1850786.0,
Other Gand A,573539.0,838472.0,386951.0,5027071.0,1850786.0,
Total Revenue,0.0,0.0,0.0,0.0,0.0,
Operating Revenue,0.0,0.0,0.0,0.0,0.0,
