,2026-03-31,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,-245470.86443,-84006.3
Tax Rate For Calcs,0.163036,0.26065,0.21
Normalized EBITDA,34730794.0,10549451.0,-1632437.0
Total Unusual Items,0.0,-941764.0,-400030.0
Total Unusual Items Excluding Goodwill,0.0,-941764.0,-400030.0
Net Income From Continuing Operation Net Minority Interest,28411204.0,6720233.0,-3253222.0
Reconciled Cost Of Revenue,95012260.0,69277621.0,46743277.0
EBITDA,34730794.0,9607687.0,-2032467.0
EBIT,34730794.0,9607687.0,-2032467.0
Net Interest Income,-785260.0,-1197987.0,-579049.0
Interest Expense,785260.0,1197987.0,579049.0
Normalized Income,28411204.0,7416526.13557,-2937198.3
Net Income From Continuing And Discontinued Operation,28411204.0,6720233.0,-3253222.0
Total Expenses,106503414.0,76621000.0,52809283.0
Total Operating Income As Reported,36270044.0,10939712.0,-1264772.0
Diluted Average Shares,37693224.0,,33595743.0
Basic Average Shares,37678920.0,,33595743.0
Diluted EPS,0.75,,-0.07
Basic EPS,0.75,,-0.07
Diluted NI Availto Com Stockholders,28411204.0,6720233.0,-3253222.0
Net Income Common Stockholders,28411204.0,6720233.0,-3253222.0
Net Income,28411204.0,6720233.0,-3253222.0
Minority Interests,0.0,502522.0,462753.0
Net Income Including Noncontrolling Interests,28411204.0,6217711.0,-3715975.0
Net Income Continuous Operations,28411204.0,6217711.0,-3715975.0
Tax Provision,5534330.0,2191989.0,1104459.0
Pretax Income,33945534.0,8409700.0,-2611516.0
Other Income Expense,-1539250.0,-1332025.0,-767695.0
Other Non Operating Income Expenses,-1539250.0,-390261.0,-367665.0
Special Income Charges,0.0,-941764.0,-400030.0
Restructuring And Mergern Acquisition,0.0,941764.0,400030.0
Net Non Operating Interest Income Expense,-785260.0,-1197987.0,-579049.0
Interest Expense Non Operating,785260.0,1197987.0,579049.0
Operating Income,36270044.0,10939712.0,-1264772.0
Operating Expense,11491154.0,7343379.0,6066006.0
Selling General And Administration,11491154.0,7343379.0,6066006.0
Selling And Marketing Expense,2007392.0,2074792.0,456087.0
General And Administrative Expense,9483762.0,5268587.0,5609919.0
Other Gand A,9483762.0,5268587.0,5609919.0
Gross Profit,47761198.0,18283091.0,4801234.0
Cost Of Revenue,95012260.0,69277621.0,46743277.0
Total Revenue,142773458.0,87560712.0,51544511.0
Operating Revenue,142773458.0,87560712.0,51544511.0
