,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0
Normalized EBITDA,-27636000.0,-3956000.0,-3445000.0,-7757000.0,-10631000.0
Net Income From Continuing Operation Net Minority Interest,-27696000.0,-4021000.0,-3511000.0,-7870000.0,-10860000.0
Reconciled Depreciation,60000.0,65000.0,66000.0,67000.0,68000.0
EBITDA,-27636000.0,-3956000.0,-3445000.0,-7757000.0,-10631000.0
EBIT,-27696000.0,-4021000.0,-3511000.0,-7824000.0,-10699000.0
Net Interest Income,23000.0,56000.0,86000.0,96000.0,76000.0
Interest Expense,0.0,0.0,0.0,46000.0,161000.0
Interest Income,23000.0,56000.0,86000.0,142000.0,237000.0
Normalized Income,-27696000.0,-4021000.0,-3511000.0,-7870000.0,-10860000.0
Net Income From Continuing And Discontinued Operation,-27696000.0,-4021000.0,-3511000.0,-7870000.0,-10860000.0
Total Expenses,27719000.0,4077000.0,3597000.0,7966000.0,10936000.0
Total Operating Income As Reported,-27719000.0,-4077000.0,-3597000.0,-7966000.0,-10936000.0
Diluted Average Shares,10931593.0,,4440111.0,3802956.0,3519601.0
Basic Average Shares,10931593.0,,4440111.0,3802956.0,3519601.0
Diluted EPS,-2.53,,-0.79,-2.07,-41.08
Basic EPS,-2.53,,-0.79,-2.07,-41.08
Diluted NI Availto Com Stockholders,-27696000.0,-4021000.0,-3511000.0,-7870000.0,-10860000.0
Net Income Common Stockholders,-27696000.0,-4021000.0,-3511000.0,-7870000.0,-10860000.0
Net Income,-27696000.0,-4021000.0,-3511000.0,-7870000.0,-10860000.0
Net Income Including Noncontrolling Interests,-27696000.0,-4021000.0,-3511000.0,-7870000.0,-10860000.0
Net Income Continuous Operations,-27696000.0,-4021000.0,-3511000.0,-7870000.0,-10860000.0
Tax Provision,0.0,0.0,0.0,0.0,0.0
Pretax Income,-27696000.0,-4021000.0,-3511000.0,-7870000.0,-10860000.0
Net Non Operating Interest Income Expense,23000.0,56000.0,86000.0,96000.0,76000.0
Interest Expense Non Operating,0.0,0.0,0.0,46000.0,161000.0
Interest Income Non Operating,23000.0,56000.0,86000.0,142000.0,237000.0
Operating Income,-27719000.0,-4077000.0,-3597000.0,-7966000.0,-10936000.0
Operating Expense,27719000.0,4077000.0,3597000.0,7966000.0,10936000.0
Research And Development,22294000.0,539000.0,570000.0,3871000.0,7627000.0
Selling General And Administration,5425000.0,3538000.0,3027000.0,4095000.0,3309000.0
General And Administrative Expense,5425000.0,3538000.0,3027000.0,4095000.0,3309000.0
Other Gand A,5425000.0,3538000.0,3027000.0,4095000.0,3309000.0
Total Revenue,0.0,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0,0.0
