,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,
Normalized EBITDA,-5614000.0,-419000.0,-4648000.0,-5712000.0,-5353000.0,
Total Unusual Items,-2746000.0,-7333000.0,4200000.0,8832000.0,1426000.0,
Total Unusual Items Excluding Goodwill,-2746000.0,-7333000.0,4200000.0,8832000.0,1426000.0,
Net Income From Continuing Operation Net Minority Interest,-10743000.0,-9956000.0,-5231000.0,-2180000.0,-6603000.0,
Reconciled Depreciation,853000.0,694000.0,766000.0,810000.0,912000.0,
Reconciled Cost Of Revenue,3532000.0,3555000.0,3990000.0,1413000.0,1660000.0,
EBITDA,-8360000.0,-7752000.0,-448000.0,3120000.0,-3927000.0,
EBIT,-9213000.0,-8446000.0,-1214000.0,2310000.0,-4839000.0,
Net Interest Income,-1530000.0,-1020000.0,-3342000.0,-4261000.0,-1606000.0,
Interest Expense,1530000.0,1510000.0,4017000.0,4490000.0,1764000.0,
Interest Income,0.0,490000.0,675000.0,229000.0,158000.0,
Normalized Income,-7997000.0,-2623000.0,-9431000.0,-11012000.0,-8029000.0,
Net Income From Continuing And Discontinued Operation,-10743000.0,-9956000.0,-5231000.0,-2180000.0,-6603000.0,
Total Expenses,9131000.0,5832000.0,10848000.0,7043000.0,7668000.0,
Total Operating Income As Reported,-3990000.0,-1693000.0,-6033000.0,-5824000.0,-6312000.0,
Diluted Average Shares,149922.0,,24038.0,14602.0,5434.0,1134.0
Basic Average Shares,149922.0,,24038.0,14602.0,5434.0,1134.0
Diluted EPS,-71.68,,-217.7,-149.1,-1215.06,-5081.999998
Basic EPS,-71.68,,-217.7,-149.1,-1215.06,-5081.999998
Diluted NI Availto Com Stockholders,-10743000.0,-9956000.0,-5231000.0,-2180000.0,-6603000.0,
Net Income Common Stockholders,-10743000.0,-9956000.0,-5231000.0,-2180000.0,-6603000.0,
Net Income,-10743000.0,-9956000.0,-5231000.0,-2180000.0,-6603000.0,
Net Income Including Noncontrolling Interests,-10743000.0,-9956000.0,-5231000.0,-2180000.0,-6603000.0,
Net Income Continuous Operations,-10743000.0,-9956000.0,-5231000.0,-2180000.0,-6603000.0,
Tax Provision,0.0,0.0,0.0,0.0,0.0,
Pretax Income,-10743000.0,-9956000.0,-5231000.0,-2180000.0,-6603000.0,
Other Income Expense,-5223000.0,-7243000.0,4144000.0,7905000.0,1315000.0,
Other Non Operating Income Expenses,-2477000.0,90000.0,-56000.0,-927000.0,-111000.0,
Special Income Charges,-1736000.0,-2203000.0,687000.0,1423000.0,3037000.0,
Other Special Charges,1710000.0,2444000.0,-687000.0,-1423000.0,-3037000.0,
Restructuring And Mergern Acquisition,26000.0,-241000.0,0.0,0.0,0.0,
Gain On Sale Of Security,-1010000.0,-5130000.0,3513000.0,7409000.0,-1611000.0,
Net Non Operating Interest Income Expense,-1530000.0,-1020000.0,-3342000.0,-4261000.0,-1606000.0,
Interest Expense Non Operating,1530000.0,1510000.0,4017000.0,4490000.0,1764000.0,
Interest Income Non Operating,0.0,490000.0,675000.0,229000.0,158000.0,
Operating Income,-3990000.0,-1693000.0,-6033000.0,-5824000.0,-6312000.0,
Operating Expense,5599000.0,2277000.0,6858000.0,5630000.0,6008000.0,
Research And Development,438000.0,465000.0,404000.0,779000.0,1271000.0,
Selling General And Administration,5161000.0,1812000.0,6454000.0,4851000.0,4737000.0,
Selling And Marketing Expense,1034000.0,1347000.0,460000.0,211000.0,250000.0,
General And Administrative Expense,4127000.0,465000.0,5994000.0,4640000.0,4487000.0,
Other Gand A,4127000.0,465000.0,5994000.0,4640000.0,4487000.0,
Gross Profit,1609000.0,584000.0,825000.0,-194000.0,-304000.0,
Cost Of Revenue,3532000.0,3555000.0,3990000.0,1413000.0,1660000.0,
Total Revenue,5141000.0,4139000.0,4815000.0,1219000.0,1356000.0,
Operating Revenue,5141000.0,4139000.0,4815000.0,1219000.0,1356000.0,
