,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,728659.6,415857.12,446914.02,209701.38,0.0
Tax Rate For Calcs,0.4,0.21,0.21,0.21,0.0
Normalized EBITDA,-2649600.0,-2374414.0,-2286290.0,-1506427.0,-18101.0
Total Unusual Items,1821649.0,1980272.0,2128162.0,998578.0,
Total Unusual Items Excluding Goodwill,1821649.0,1980272.0,2128162.0,998578.0,
Net Income From Continuing Operation Net Minority Interest,993698.0,1586130.0,1970034.0,490729.0,-163101.0
EBITDA,-827951.0,-394142.0,-158128.0,-507849.0,-18101.0
EBIT,-827951.0,-394142.0,-158128.0,-507849.0,-18101.0
Normalized Income,-99291.4,21715.12,288786.02,-298147.62,-163101.0
Net Income From Continuing And Discontinued Operation,993698.0,1586130.0,1970034.0,490729.0,-163101.0
Total Expenses,827951.0,394142.0,158128.0,507849.0,18101.0
Total Operating Income As Reported,-329669.0,-394142.0,-158128.0,-471599.0,-18101.0
Diluted Average Shares,27195833.0,,33029166.0,17064652.0,24570833.0
Basic Average Shares,27195833.0,,27195833.0,13747344.0,24570833.0
Diluted EPS,0.04,,0.06,0.03,-0.006883
Basic EPS,0.04,,0.07,0.04,-0.006883
Diluted NI Availto Com Stockholders,993698.0,1586130.0,1970034.0,490729.0,-163101.0
Net Income Common Stockholders,993698.0,1586130.0,1970034.0,490729.0,-163101.0
Net Income,993698.0,1586130.0,1970034.0,490729.0,-163101.0
Net Income Including Noncontrolling Interests,993698.0,1586130.0,1970034.0,490729.0,-163101.0
Net Income Continuous Operations,993698.0,1586130.0,1970034.0,490729.0,-163101.0
Pretax Income,993698.0,1586130.0,1970034.0,490729.0,-163101.0
Other Income Expense,1821649.0,1980272.0,2128162.0,998578.0,-145000.0
Other Non Operating Income Expenses,,,,,-145000.0
Gain On Sale Of Security,1821649.0,1980272.0,2128162.0,998578.0,
Operating Income,-827951.0,-394142.0,-158128.0,-507849.0,-18101.0
Operating Expense,827951.0,394142.0,158128.0,507849.0,18101.0
Other Taxes,498282.0,,,,0.0
Selling General And Administration,329669.0,394142.0,158128.0,507849.0,18101.0
General And Administrative Expense,329669.0,394142.0,158128.0,507849.0,18101.0
Other Gand A,329669.0,394142.0,158128.0,471599.0,18101.0
Salaries And Wages,,0.0,0.0,36250.0,145000.0
Total Revenue,0.0,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0,0.0
