,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,-27.343785,0.0,0.0,0.0,,
Tax Rate For Calcs,0.0,0.220514,0.0,0.0,0.0,,
Normalized EBITDA,2619835.0,-628433.0,14271100.0,-300925.0,-242197.0,,
Total Unusual Items,264.0,-124.0,745.0,-8525.0,-46.0,,
Total Unusual Items Excluding Goodwill,264.0,-124.0,745.0,-8525.0,-46.0,,
Net Income From Continuing Operation Net Minority Interest,2594120.0,-495975.0,14245313.0,11034935.0,-269489.0,,
Reconciled Depreciation,529.0,569.0,615.0,663.0,716.0,,
Reconciled Cost Of Revenue,529.0,569.0,615.0,663.0,716.0,,
EBITDA,2620099.0,-628557.0,14271845.0,-309450.0,-242243.0,,
EBIT,2619570.0,-629126.0,14271230.0,-310113.0,-242959.0,,
Net Interest Income,-25155.0,-6679.0,-25700.0,-25812.0,-26175.0,,
Interest Expense,25450.0,7159.0,25917.0,,26530.0,23644.0,
Interest Income,295.0,480.0,217.0,,355.0,707.0,
Normalized Income,2593856.0,-495878.343785,14244568.0,11043460.0,-269443.0,,
Net Income From Continuing And Discontinued Operation,2594120.0,-495975.0,14245313.0,11034935.0,-269489.0,,
Total Expenses,134811.0,298021.0,353900.0,310113.0,257456.0,,
Rent Expense Supplemental,750.0,750.0,,,4015.0,3192.0,
Total Operating Income As Reported,-134811.0,-298021.0,-353900.0,-310113.0,-257457.0,,
Diluted Average Shares,728587039.0,,728587039.0,728587039.0,728587039.0,,728587039.0
Basic Average Shares,728587039.0,,728587039.0,728587039.0,728587039.0,,728587039.0
Diluted EPS,0.0,,0.02,0.02,0.0,,0.0
Basic EPS,0.0,,0.02,0.02,0.0,,0.0
Diluted NI Availto Com Stockholders,2594120.0,-495975.0,14245313.0,11034935.0,-269489.0,,
Net Income Common Stockholders,2594120.0,-495975.0,14245313.0,11034935.0,-269489.0,,
Net Income,2594120.0,-495975.0,14245313.0,11034935.0,-269489.0,,
Net Income Including Noncontrolling Interests,2594120.0,-495975.0,14245313.0,11034935.0,-269489.0,,
Net Income Continuous Operations,2594120.0,-495975.0,14245313.0,11034935.0,-269489.0,,
Tax Provision,0.0,-140310.0,0.0,0.0,0.0,,
Pretax Income,2594120.0,-636285.0,14245313.0,11034935.0,-269489.0,,
Other Income Expense,2754086.0,-331585.0,14624913.0,11370860.0,14143.0,,
Earnings From Equity Interest,2753822.0,-331461.0,14624168.0,11379385.0,14189.0,,
Gain On Sale Of Security,264.0,-124.0,745.0,-8525.0,-46.0,,
Net Non Operating Interest Income Expense,-25155.0,-6679.0,-25700.0,-25812.0,-26175.0,,
Total Other Finance Cost,,,,25812.0,,,22307.0
Interest Expense Non Operating,25450.0,7159.0,25917.0,,26530.0,23644.0,
Interest Income Non Operating,295.0,480.0,217.0,,355.0,707.0,
Operating Income,-134811.0,-298021.0,-353900.0,-310113.0,-257456.0,,
Operating Expense,134282.0,297452.0,353285.0,309450.0,256740.0,,
Other Taxes,2426.0,2082.0,,,454.0,1388.0,
Selling General And Administration,131856.0,295370.0,353285.0,309450.0,256286.0,,
General And Administrative Expense,131856.0,295370.0,353285.0,309450.0,256286.0,,
Other Gand A,66967.0,265626.0,353285.0,309450.0,159652.0,,
Insurance And Claims,19063.0,16500.0,,,13801.0,13801.0,
Rent And Landing Fees,750.0,750.0,,,4015.0,3192.0,
Salaries And Wages,45076.0,12494.0,,,78818.0,232035.0,
Gross Profit,-529.0,-569.0,-615.0,-663.0,-716.0,,
Cost Of Revenue,529.0,569.0,615.0,663.0,716.0,,
Total Revenue,0.0,0.0,0.0,0.0,0.0,,
Operating Revenue,0.0,0.0,0.0,0.0,0.0,,
