,2026-03-31,2025-12-31,2025-03-31
Tax Effect Of Unusual Items,611410.0,0.0,0.0
Tax Rate For Calcs,0.4,0.21,0.0
Normalized EBITDA,-1693007.0,-120456.0,-50760.0
Total Unusual Items,1528525.0,,
Total Unusual Items Excluding Goodwill,1528525.0,,
Net Income From Continuing Operation Net Minority Interest,1364043.0,145850.0,-50760.0
EBITDA,-164482.0,-120456.0,-50760.0
EBIT,-164482.0,-120456.0,-50760.0
Normalized Income,446928.0,145850.0,-50760.0
Net Income From Continuing And Discontinued Operation,1364043.0,145850.0,-50760.0
Total Expenses,164482.0,120456.0,50760.0
Total Operating Income As Reported,-164482.0,,-50760.0
Diluted Average Shares,23437500.0,,6065343.0
Basic Average Shares,23437500.0,,5811062.0
Diluted EPS,0.06,,-0.008735
Basic EPS,0.06,,-0.008735
Diluted NI Availto Com Stockholders,1364043.0,145850.0,-50760.0
Net Income Common Stockholders,1364043.0,145850.0,-50760.0
Net Income,1364043.0,145850.0,-50760.0
Net Income Including Noncontrolling Interests,1364043.0,145850.0,-50760.0
Net Income Continuous Operations,1364043.0,145850.0,-50760.0
Pretax Income,1364043.0,145850.0,-50760.0
Other Income Expense,1528525.0,,
Gain On Sale Of Security,1528525.0,,
Operating Income,-164482.0,-120456.0,-50760.0
Operating Expense,164482.0,120456.0,50760.0
Selling General And Administration,164482.0,120456.0,50760.0
General And Administrative Expense,164482.0,120456.0,50760.0
Other Gand A,164482.0,120456.0,50760.0
Total Revenue,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0
