,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.230279,0.196159,0.219081,0.226983,0.240446,
Normalized EBITDA,364257000.0,517206000.0,334490000.0,290538000.0,284870000.0,
Net Income From Continuing Operation Net Minority Interest,205284000.0,324992000.0,185636000.0,153782000.0,148382000.0,
Reconciled Depreciation,60709000.0,60091000.0,64351000.0,63048000.0,62699000.0,
Reconciled Cost Of Revenue,197793000.0,159268000.0,164993000.0,169693000.0,176877000.0,
EBITDA,364257000.0,517206000.0,334490000.0,290538000.0,284870000.0,
EBIT,303548000.0,457115000.0,270139000.0,227490000.0,222171000.0,
Net Interest Income,16827000.0,18835000.0,19826000.0,14543000.0,13262000.0,
Interest Expense,624000.0,403000.0,522000.0,429000.0,587000.0,
Interest Income,17451000.0,19238000.0,20348000.0,14972000.0,13849000.0,
Normalized Income,205284000.0,324992000.0,185636000.0,153782000.0,148382000.0,
Net Income From Continuing And Discontinued Operation,205284000.0,324992000.0,185636000.0,153782000.0,148382000.0,
Total Expenses,330511000.0,290384000.0,298227000.0,313118000.0,305576000.0,
Rent Expense Supplemental,8192000.0,8214000.0,6641000.0,6022000.0,5074000.0,
Total Operating Income As Reported,287253000.0,221013000.0,210371000.0,199853000.0,204101000.0,
Diluted Average Shares,213324648.0,214740747.0,214983486.0,214971946.0,214895418.0,
Basic Average Shares,212685136.0,213065776.0,213359090.0,213339761.0,213087496.0,
Diluted EPS,0.96,1.51,0.86,0.71,0.69,
Basic EPS,0.96,1.52,0.87,0.72,0.7,
Diluted NI Availto Com Stockholders,205208000.0,324735000.0,185498000.0,153665000.0,148253000.0,
Net Income Common Stockholders,205208000.0,324735000.0,185498000.0,153665000.0,148253000.0,
Otherunder Preferred Stock Dividend,76000.0,257000.0,138000.0,117000.0,129000.0,
Net Income,205284000.0,324992000.0,185636000.0,153782000.0,148382000.0,
Minority Interests,-27883000.0,-42132000.0,-24913000.0,-21740000.0,-19923000.0,
Net Income Including Noncontrolling Interests,233167000.0,367124000.0,210549000.0,175522000.0,168305000.0,
Net Income Continuous Operations,233167000.0,367124000.0,210549000.0,175522000.0,168305000.0,
Tax Provision,69757000.0,89588000.0,59068000.0,51539000.0,53279000.0,
Pretax Income,302924000.0,456712000.0,269617000.0,227061000.0,221584000.0,
Other Income Expense,-1156000.0,207078000.0,39420000.0,12665000.0,4221000.0,
Other Non Operating Income Expenses,-1156000.0,207078000.0,39420000.0,12665000.0,4221000.0,
Net Non Operating Interest Income Expense,16827000.0,18835000.0,19826000.0,14543000.0,13262000.0,
Interest Expense Non Operating,624000.0,403000.0,522000.0,429000.0,587000.0,
Interest Income Non Operating,17451000.0,19238000.0,20348000.0,14972000.0,13849000.0,
Operating Income,287253000.0,230799000.0,210371000.0,199853000.0,204101000.0,
Operating Expense,132718000.0,131116000.0,133234000.0,143425000.0,128699000.0,
Other Taxes,,-9786000.0,0.0,,,-8600000.0
Depreciation Amortization Depletion Income Statement,60709000.0,60091000.0,64351000.0,63048000.0,62699000.0,
Depreciation And Amortization In Income Statement,60709000.0,60091000.0,64351000.0,63048000.0,62699000.0,
Selling General And Administration,72009000.0,80811000.0,68883000.0,80377000.0,66000000.0,
General And Administrative Expense,72009000.0,80811000.0,68883000.0,80377000.0,66000000.0,
Other Gand A,63817000.0,72597000.0,62242000.0,74355000.0,60926000.0,
Rent And Landing Fees,8192000.0,8214000.0,6641000.0,6022000.0,5074000.0,
Gross Profit,419971000.0,361915000.0,343605000.0,343278000.0,332800000.0,
Cost Of Revenue,197793000.0,159268000.0,164993000.0,169693000.0,176877000.0,
Total Revenue,617764000.0,521183000.0,508598000.0,512971000.0,509677000.0,
Operating Revenue,610848000.0,511193000.0,502673000.0,507729000.0,506046000.0,
