,2026-04-30,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31
Tax Effect Of Unusual Items,-1114935.0,-870839.044692,-1281117.787328,-1250725.0,-449934.0,,
Tax Rate For Calcs,0.239,0.244549,0.24054,0.245,0.246,,
Normalized EBITDA,538985000.0,565851000.0,390532000.0,426229000.0,477468000.0,,
Total Unusual Items,-4665000.0,-3561000.0,-5326000.0,-5105000.0,-1829000.0,,
Total Unusual Items Excluding Goodwill,-4665000.0,-3561000.0,-5326000.0,-5105000.0,-1829000.0,,
Net Income From Continuing Operation Net Minority Interest,340469000.0,356677000.0,230875000.0,260875000.0,305052000.0,,
Reconciled Depreciation,81399000.0,81787000.0,75787000.0,71165000.0,72033000.0,,
Reconciled Cost Of Revenue,1896237000.0,2414717000.0,1701958000.0,1696773000.0,1734148000.0,,
EBITDA,534320000.0,562290000.0,385206000.0,421124000.0,475639000.0,,
EBIT,452921000.0,480503000.0,309419000.0,349959000.0,403606000.0,,
Net Interest Income,652000.0,-2624000.0,-4123000.0,1413000.0,3547000.0,,
Interest Expense,,,4123000.0,,,,
Interest Income,652000.0,,,1413000.0,3547000.0,1994000.0,1674000.0
Normalized Income,344019065.0,359367160.955308,234919882.212672,264729275.0,306431066.0,,
Net Income From Continuing And Discontinued Operation,340469000.0,356677000.0,230875000.0,260875000.0,305052000.0,,
Total Expenses,2710936000.0,3417858000.0,2542878000.0,2438510000.0,2444761000.0,,
Total Operating Income As Reported,448256000.0,476942000.0,309419000.0,344854000.0,401777000.0,,
Diluted Average Shares,43964000.0,44521000.0,44895000.0,45112000.0,45508000.0,,
Basic Average Shares,43781000.0,44320000.0,44731000.0,44955000.0,45362000.0,,
Diluted EPS,7.74,8.01,5.14,5.78,6.7,,
Basic EPS,7.78,8.05,5.16,5.8,6.72,,
Diluted NI Availto Com Stockholders,340469000.0,356677000.0,230875000.0,260875000.0,305052000.0,,
Net Income Common Stockholders,340469000.0,356677000.0,230875000.0,260875000.0,305052000.0,,
Net Income,340469000.0,356677000.0,230875000.0,260875000.0,305052000.0,,
Net Income Including Noncontrolling Interests,340469000.0,356677000.0,230875000.0,260875000.0,305052000.0,,
Net Income Continuous Operations,340469000.0,356677000.0,230875000.0,260875000.0,305052000.0,,
Earnings From Equity Interest Net Of Tax,-1579000.0,-1647000.0,-985000.0,-597000.0,-628000.0,,
Tax Provision,106860000.0,115994000.0,73436000.0,84795000.0,99644000.0,,
Pretax Income,448908000.0,474318000.0,305296000.0,346267000.0,405324000.0,,
Other Income Expense,-4665000.0,-3561000.0,-5326000.0,-5105000.0,-1829000.0,,
Special Income Charges,-4665000.0,-3561000.0,-5326000.0,-5105000.0,-1829000.0,,
Other Special Charges,4665000.0,3561000.0,5326000.0,5105000.0,1829000.0,,
Net Non Operating Interest Income Expense,652000.0,-2624000.0,-4123000.0,1413000.0,3547000.0,,
Interest Expense Non Operating,,,4123000.0,,,,
Interest Income Non Operating,652000.0,,,1413000.0,3547000.0,1994000.0,1674000.0
Operating Income,452921000.0,480503000.0,314745000.0,349959000.0,403606000.0,,
Operating Expense,814699000.0,1003141000.0,840920000.0,741737000.0,710613000.0,,
Selling General And Administration,814699000.0,1003141000.0,840920000.0,741737000.0,710613000.0,,
Gross Profit,1267620000.0,1483644000.0,1155665000.0,1091696000.0,1114219000.0,,
Cost Of Revenue,1896237000.0,2414717000.0,1701958000.0,1696773000.0,1734148000.0,,
Total Revenue,3163857000.0,3898361000.0,2857623000.0,2788469000.0,2848367000.0,,
Operating Revenue,3163857000.0,3898361000.0,2857623000.0,2788469000.0,2848367000.0,,
