,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,949600.0,8461110.0,1266510.0,453810.0,2058420.0,,
Tax Rate For Calcs,0.4,0.21,0.21,0.21,0.21,,
Normalized EBITDA,-47802000.0,-29491000.0,-50993000.0,-47927000.0,-68947000.0,,
Total Unusual Items,2374000.0,40291000.0,6031000.0,2161000.0,9802000.0,,
Total Unusual Items Excluding Goodwill,2374000.0,40291000.0,6031000.0,2161000.0,9802000.0,,
Net Income From Continuing Operation Net Minority Interest,-82958000.0,-28875000.0,-83730000.0,-82299000.0,-99313000.0,,
Reconciled Depreciation,11714000.0,13545000.0,13926000.0,13490000.0,20210000.0,,
Reconciled Cost Of Revenue,170910000.0,171043000.0,186804000.0,187445000.0,178634000.0,,
EBITDA,-45428000.0,10800000.0,-44962000.0,-45766000.0,-59145000.0,,
EBIT,-57142000.0,-2745000.0,-58888000.0,-59256000.0,-79355000.0,,
Net Interest Income,-25065000.0,-24591000.0,-22879000.0,-21248000.0,-18732000.0,,
Interest Expense,25307000.0,24996000.0,23510000.0,22084000.0,19880000.0,,
Interest Income,242000.0,405000.0,631000.0,836000.0,1148000.0,,
Normalized Income,-84382400.0,-60704890.0,-88494490.0,-84006190.0,-107056580.0,,
Net Income From Continuing And Discontinued Operation,-82958000.0,-28875000.0,-83730000.0,-82299000.0,-99313000.0,,
Total Expenses,228669000.0,226035000.0,251040000.0,251420000.0,268136000.0,,
Total Operating Income As Reported,-57356000.0,-1710000.0,-61337000.0,-59600000.0,-80766000.0,,
Diluted Average Shares,36149112.0,36090489.0,35190671.0,34949848.0,34913507.0,,
Basic Average Shares,36149112.0,36090489.0,35190671.0,34949848.0,34913507.0,,
Diluted EPS,-2.29,-0.8,-2.4,-2.4,-2.8,,
Basic EPS,-2.29,-0.8,-2.4,-2.4,-2.8,,
Diluted NI Availto Com Stockholders,-82958000.0,-28875000.0,-83730000.0,-82299000.0,-99313000.0,,
Net Income Common Stockholders,-82958000.0,-28875000.0,-83730000.0,-82299000.0,-99313000.0,,
Net Income,-82958000.0,-28875000.0,-83730000.0,-82299000.0,-99313000.0,,
Minority Interests,0.0,0.0,0.0,0.0,0.0,,
Net Income Including Noncontrolling Interests,-82958000.0,-28875000.0,-83730000.0,-82299000.0,-99313000.0,,
Net Income Continuous Operations,-82958000.0,-28875000.0,-83730000.0,-82299000.0,-99313000.0,,
Tax Provision,509000.0,1134000.0,1332000.0,959000.0,78000.0,,
Pretax Income,-82449000.0,-27741000.0,-82398000.0,-81340000.0,-99235000.0,,
Other Income Expense,2363000.0,39043000.0,6035000.0,1691000.0,10103000.0,,
Other Non Operating Income Expenses,-11000.0,-1248000.0,4000.0,-470000.0,301000.0,,
Special Income Charges,2374000.0,40291000.0,6031000.0,2161000.0,9802000.0,,
Gain On Sale Of Ppe,2391000.0,40483000.0,4217000.0,2183000.0,9840000.0,,
Gain On Sale Of Business,,-152000.0,1833000.0,0.0,0.0,,
Other Special Charges,17000.0,40000.0,19000.0,22000.0,38000.0,,
Impairment Of Capital Assets,,,,,,0.0,0.0
Restructuring And Mergern Acquisition,,,,,,,0.0
Gain On Sale Of Security,,,,,,-17000.0,107000.0
Net Non Operating Interest Income Expense,-25065000.0,-24591000.0,-22879000.0,-21248000.0,-18732000.0,,
Interest Expense Non Operating,25307000.0,24996000.0,23510000.0,22084000.0,19880000.0,,
Interest Income Non Operating,242000.0,405000.0,631000.0,836000.0,1148000.0,,
Operating Income,-59747000.0,-42193000.0,-65554000.0,-61783000.0,-90606000.0,,
Operating Expense,57759000.0,54992000.0,64236000.0,63975000.0,89502000.0,,
Research And Development,8739000.0,8710000.0,10170000.0,9358000.0,10524000.0,,
Selling General And Administration,49020000.0,46282000.0,54066000.0,54617000.0,78978000.0,,
Selling And Marketing Expense,22183000.0,20013000.0,22084000.0,24385000.0,22161000.0,,
General And Administrative Expense,26837000.0,26269000.0,31982000.0,30232000.0,56817000.0,,
Other Gand A,26837000.0,26269000.0,31982000.0,30232000.0,56817000.0,,
Gross Profit,-1988000.0,12799000.0,-1318000.0,2192000.0,-1104000.0,,
Cost Of Revenue,170910000.0,171043000.0,186804000.0,187445000.0,178634000.0,,
Total Revenue,168922000.0,183842000.0,185486000.0,189637000.0,177530000.0,,
Operating Revenue,168922000.0,183842000.0,185486000.0,189637000.0,177530000.0,,
