,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.18128,0.271933,0.25,0.321756,0.243532
Normalized EBITDA,6415000.0,27178000.0,25418000.0,26530000.0,27522000.0
Net Income From Continuing Operation Net Minority Interest,-1522000.0,16324000.0,16419000.0,16638000.0,16901000.0
Reconciled Depreciation,8084000.0,4549000.0,3236000.0,1781000.0,4946000.0
Reconciled Cost Of Revenue,134146000.0,137127000.0,123974000.0,112985000.0,99676000.0
EBITDA,6415000.0,27178000.0,25418000.0,26530000.0,27522000.0
EBIT,-1669000.0,22629000.0,22182000.0,24749000.0,22576000.0
Net Interest Income,582000.0,991000.0,1057000.0,1114000.0,977000.0
Interest Expense,190000.0,208000.0,213000.0,218000.0,234000.0
Interest Income,772000.0,1199000.0,1270000.0,1332000.0,1211000.0
Normalized Income,-1522000.0,16324000.0,16419000.0,16638000.0,16901000.0
Net Income From Continuing And Discontinued Operation,-1522000.0,16324000.0,16419000.0,16638000.0,16901000.0
Total Expenses,189487000.0,192142000.0,177537000.0,160972000.0,140420000.0
Total Operating Income As Reported,-2332000.0,21410000.0,21399000.0,23795000.0,21769000.0
Diluted Average Shares,44587704.0,46121462.0,46205737.0,45804158.0,45804924.0
Basic Average Shares,44587704.0,44784680.0,44721206.0,44591484.0,44250685.0
Diluted EPS,-0.03,0.35,0.36,0.36,0.37
Basic EPS,-0.03,0.36,0.37,0.37,0.38
Diluted NI Availto Com Stockholders,-1522000.0,16324000.0,16419000.0,16638000.0,16901000.0
Net Income Common Stockholders,-1522000.0,16324000.0,16419000.0,16638000.0,16901000.0
Net Income,-1522000.0,16324000.0,16419000.0,16638000.0,16901000.0
Net Income Including Noncontrolling Interests,-1522000.0,16324000.0,16419000.0,16638000.0,16901000.0
Net Income Continuous Operations,-1522000.0,16324000.0,16419000.0,16638000.0,16901000.0
Tax Provision,-337000.0,6097000.0,5550000.0,7893000.0,5441000.0
Pretax Income,-1859000.0,22421000.0,21969000.0,24531000.0,22342000.0
Other Income Expense,-109000.0,20000.0,-487000.0,-378000.0,-404000.0
Other Non Operating Income Expenses,-109000.0,20000.0,-487000.0,-378000.0,-404000.0
Net Non Operating Interest Income Expense,582000.0,991000.0,1057000.0,1114000.0,977000.0
Interest Expense Non Operating,190000.0,208000.0,213000.0,218000.0,234000.0
Interest Income Non Operating,772000.0,1199000.0,1270000.0,1332000.0,1211000.0
Operating Income,-2332000.0,21410000.0,21399000.0,23795000.0,21769000.0
Operating Expense,55341000.0,55015000.0,53563000.0,47987000.0,40744000.0
Selling General And Administration,55341000.0,55015000.0,53563000.0,47987000.0,40744000.0
Selling And Marketing Expense,10977000.0,10879000.0,9169000.0,9000000.0,8835000.0
General And Administrative Expense,44364000.0,44136000.0,44394000.0,38987000.0,31909000.0
Other Gand A,44364000.0,44136000.0,44394000.0,38987000.0,31909000.0
Gross Profit,53009000.0,76425000.0,74962000.0,71782000.0,62513000.0
Cost Of Revenue,134146000.0,137127000.0,123974000.0,112985000.0,99676000.0
Total Revenue,187155000.0,213552000.0,198936000.0,184767000.0,162189000.0
Operating Revenue,187155000.0,213552000.0,198936000.0,184767000.0,162189000.0
