,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.234,0.205,0.27,0.380888,0.18,
Total Unusual Items,,,,0.0,0.0,0.0
Total Unusual Items Excluding Goodwill,,,,0.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,1145000.0,1074000.0,962000.0,-920000.0,305000.0,
Reconciled Depreciation,213000.0,321000.0,223000.0,220000.0,206000.0,
Net Interest Income,6297000.0,6063000.0,5741000.0,5350000.0,4373000.0,
Interest Expense,6219000.0,6351000.0,6196000.0,6011000.0,6240000.0,
Interest Income,12516000.0,12414000.0,11937000.0,11361000.0,10613000.0,
Normalized Income,1145000.0,1074000.0,962000.0,-920000.0,305000.0,
Net Income From Continuing And Discontinued Operation,1145000.0,1074000.0,962000.0,-920000.0,305000.0,
Diluted Average Shares,8973154.0,8969031.0,,,8960743.0,9446429.0
Basic Average Shares,8973154.0,8969031.0,,,8960743.0,9446429.0
Diluted EPS,0.13,0.12,,,0.032287,0.039486
Basic EPS,0.13,0.12,,,0.032287,0.039486
Diluted NI Availto Com Stockholders,1145000.0,1074000.0,962000.0,-920000.0,305000.0,
Net Income Common Stockholders,1145000.0,1074000.0,962000.0,-920000.0,305000.0,
Net Income,1145000.0,1074000.0,962000.0,-920000.0,305000.0,
Net Income Including Noncontrolling Interests,1145000.0,1074000.0,962000.0,-920000.0,305000.0,
Net Income Continuous Operations,1145000.0,1074000.0,962000.0,-920000.0,305000.0,
Tax Provision,349000.0,276000.0,356000.0,-566000.0,67000.0,
Pretax Income,1494000.0,1350000.0,1318000.0,-1486000.0,372000.0,
Special Income Charges,,,,0.0,0.0,0.0
Gain On Sale Of Security,0.0,0.0,-317000.0,222000.0,-71000.0,
Selling General And Administration,3904000.0,3813000.0,3991000.0,6013000.0,3556000.0,
Selling And Marketing Expense,216000.0,144000.0,184000.0,150000.0,120000.0,
General And Administrative Expense,3688000.0,3669000.0,3807000.0,5863000.0,3436000.0,
Other Gand A,864000.0,888000.0,900000.0,3005000.0,695000.0,
Insurance And Claims,165000.0,160000.0,210000.0,210000.0,210000.0,
Salaries And Wages,2659000.0,2621000.0,2697000.0,2648000.0,2531000.0,
Total Revenue,6664000.0,6445000.0,5793000.0,5954000.0,4672000.0,
Operating Revenue,6664000.0,6445000.0,5793000.0,5954000.0,4672000.0,
Occupancy And Equipment,464000.0,513000.0,396000.0,380000.0,409000.0,
Other Non Interest Expense,477000.0,381000.0,408000.0,360000.0,356000.0,
